Frequency	dB	Unweighted
19.5	98.6	
19.8	98.6	
20.1	98.6	
20.4	98.7	
20.7	98.8	
21.0	99.0	
21.3	99.1	
21.6	99.2	
21.9	99.4	
22.2	99.5	
22.5	99.6	
22.9	99.7	
23.2	99.8	
23.5	99.9	
23.9	99.9	
24.2	100.0	
24.6	100.1	
24.9	100.2	
25.3	100.3	
25.7	100.4	
26.0	100.4	
26.4	100.5	
26.8	100.5	
27.2	100.6	
27.6	100.7	
28.0	100.8	
28.4	100.9	
28.8	101.0	
29.2	101.1	
29.7	101.1	
30.1	101.2	
30.5	101.2	
31.0	101.3	
31.4	101.3	
31.9	101.4	
32.4	101.5	
32.8	101.6	
33.3	101.6	
33.8	101.7	
34.3	101.7	
34.8	101.7	
35.3	101.8	
35.8	101.8	
36.3	101.9	
36.9	101.9	
37.4	101.9	
37.9	101.9	
38.5	102.0	
39.1	102.0	
39.6	102.1	
40.2	102.1	
40.8	102.1	
41.4	102.1	
42.0	102.1	
42.6	102.1	
43.2	102.2	
43.9	102.2	
44.5	102.2	
45.1	102.2	
45.8	102.1	
46.5	102.1	
47.1	102.1	
47.8	102.1	
48.5	102.1	
49.2	102.2	
50.0	102.2	
50.7	102.1	
51.4	102.1	
52.2	102.1	
52.9	102.0	
53.7	102.0	
54.5	102.0	
55.3	102.1	
56.1	102.0	
56.9	101.8	
57.7	101.8	
58.6	101.8	
59.4	101.7	
60.3	101.8	
61.2	101.8	
62.1	101.7	
63.0	102.0	
63.9	102.0	
64.8	101.7	
65.8	101.5	
66.7	101.4	
67.7	101.4	
68.7	101.4	
69.7	101.2	
70.7	101.0	
71.7	101.0	
72.8	101.1	
73.8	101.1	
74.9	100.9	
76.0	100.8	
77.1	100.8	
78.3	100.7	
79.4	100.7	
80.5	100.6	
81.7	100.5	
82.9	100.4	
84.1	100.5	
85.4	100.2	
86.6	100.1	
87.9	100.1	
89.1	99.9	
90.4	99.8	
91.8	99.8	
93.1	99.7	
94.5	99.6	
95.8	99.6	
97.2	99.6	
98.6	99.4	
100.1	99.4	
101.5	99.3	
103.0	99.1	
104.5	99.1	
106.0	99.0	
107.6	98.9	
109.2	98.8	
110.8	98.7	
112.4	98.7	
114.0	98.6	
115.7	98.5	
117.4	98.4	
119.1	98.3	
120.8	98.2	
122.6	98.2	
124.3	98.0	
126.2	98.0	
128.0	98.0	
129.9	97.8	
131.8	97.7	
133.7	97.5	
135.6	97.6	
137.6	97.5	
139.6	97.4	
141.7	97.4	
143.7	97.2	
145.8	97.2	
147.9	97.2	
150.1	97.1	
152.3	97.0	
154.5	97.0	
156.8	96.9	
159.0	96.8	
161.4	96.7	
163.7	96.7	
166.1	96.6	
168.5	96.5	
171.0	96.4	
173.5	96.4	
176.0	96.3	
178.6	96.4	
181.2	96.3	
183.8	96.1	
186.5	96.2	
189.2	96.0	
192.0	96.0	
194.8	96.0	
197.6	95.9	
200.5	95.9	
203.4	95.9	
206.4	95.8	
209.4	95.8	
212.4	95.7	
215.5	95.7	
218.7	95.6	
221.9	95.6	
225.1	95.5	
228.4	95.5	
231.7	95.4	
235.1	95.4	
238.5	95.3	
242.0	95.3	
245.5	95.3	
249.1	95.2	
252.7	95.4	
256.4	95.4	
260.2	95.3	
263.9	95.3	
267.8	95.2	
271.7	95.4	
275.7	95.2	
279.7	95.3	
283.8	95.2	
287.9	95.2	
292.1	95.2	
296.3	95.1	
300.7	95.1	
305.1	95.0	
309.5	95.0	
314.0	95.0	
318.6	95.0	
323.2	95.0	
327.9	94.9	
332.7	94.9	
337.6	94.9	
342.5	94.8	
347.5	94.8	
352.6	94.7	
357.7	94.7	
362.9	94.7	
368.2	94.7	
373.6	94.6	
379.0	94.6	
384.5	94.6	
390.2	94.6	
395.8	94.5	
401.6	94.5	
407.5	94.6	
413.4	94.4	
419.4	94.4	
425.6	94.4	
431.8	94.3	
438.1	94.3	
444.4	94.2	
450.9	94.2	
457.5	94.2	
464.2	94.1	
470.9	94.1	
477.8	94.1	
484.8	94.1	
491.8	94.0	
499.0	94.0	
506.3	94.0	
513.7	94.0	
521.1	94.1	
528.7	94.0	
536.5	94.1	
544.3	94.1	
552.2	93.9	
560.3	93.9	
568.4	93.9	
576.7	93.9	
585.1	93.8	
593.7	93.8	
602.3	93.7	
611.1	93.7	
620.0	93.6	
629.0	93.6	
638.2	93.5	
647.5	93.5	
657.0	93.4	
666.5	93.4	
676.2	93.3	
686.1	93.3	
696.1	93.3	
706.3	93.3	
716.6	93.2	
727.0	93.2	
737.6	93.1	
748.4	93.1	
759.3	93.0	
770.3	93.0	
781.6	93.0	
793.0	93.0	
804.5	92.9	
816.3	92.9	
828.2	92.9	
840.2	92.9	
852.5	92.8	
864.9	92.8	
877.5	92.8	
890.3	92.8	
903.3	92.8	
916.5	92.9	
929.8	92.9	
943.4	92.9	
957.1	93.0	
971.1	93.0	
985.2	93.1	
999.6	93.1	
1014.2	93.2	
1029.0	93.2	
1044.0	93.3	
1059.2	93.4	
1074.6	93.5	
1090.3	93.6	
1106.2	93.7	
1122.3	93.8	
1138.7	93.9	
1155.3	93.9	
1172.1	94.0	
1189.2	94.2	
1206.6	94.2	
1224.1	94.3	
1242.0	94.4	
1260.1	94.5	
1278.5	94.6	
1297.1	94.7	
1316.0	94.8	
1335.2	94.9	
1354.7	95.0	
1374.4	95.0	
1394.5	95.1	
1414.8	95.2	
1435.4	95.3	
1456.3	95.4	
1477.6	95.4	
1499.1	95.5	
1521.0	95.6	
1543.1	95.7	
1565.6	95.8	
1588.5	95.9	
1611.6	96.0	
1635.1	96.0	
1659.0	96.1	
1683.2	96.2	
1707.7	96.3	
1732.6	96.4	
1757.8	96.6	
1783.5	96.7	
1809.5	96.8	
1835.9	96.9	
1862.6	97.0	
1889.8	97.1	
1917.3	97.3	
1945.3	97.4	
1973.6	97.6	
2002.4	97.7	
2031.6	97.9	
2061.2	98.0	
2091.3	98.2	
2121.8	98.4	
2152.7	98.6	
2184.1	98.7	
2215.9	98.9	
2248.2	99.1	
2281.0	99.3	
2314.3	99.5	
2348.0	99.8	
2382.3	100.0	
2417.0	100.2	
2452.2	100.4	
2488.0	100.6	
2524.2	100.8	
2561.0	101.0	
2598.4	101.3	
2636.3	101.5	
2674.7	101.6	
2713.7	101.8	
2753.3	102.0	
2793.4	102.1	
2834.1	102.2	
2875.4	102.3	
2917.4	102.4	
2959.9	102.4	
3003.1	102.5	
3046.8	102.4	
3091.3	102.4	
3136.3	102.4	
3182.1	102.3	
3228.4	102.2	
3275.5	102.1	
3323.3	102.0	
3371.7	101.9	
3420.9	101.8	
3470.8	101.7	
3521.4	101.6	
3572.7	101.5	
3624.8	101.4	
3677.6	101.3	
3731.2	101.2	
3785.6	101.1	
3840.8	101.1	
3896.8	101.0	
3953.6	100.9	
4011.3	100.8	
4069.8	100.7	
4129.1	100.6	
4189.3	100.5	
4250.4	100.4	
4312.3	100.2	
4375.2	100.0	
4439.0	99.8	
4503.7	99.5	
4569.4	99.2	
4636.0	98.9	
4703.6	98.7	
4772.2	98.4	
4841.7	98.1	
4912.3	97.9	
4984.0	97.7	
5056.6	97.5	
5130.3	97.4	
5205.1	97.3	
5281.0	97.2	
5358.0	97.1	
5436.1	97.0	
5515.4	97.0	
5595.8	96.9	
5677.4	96.8	
5760.1	96.8	
5844.1	96.7	
5929.3	96.7	
6015.8	96.7	
6103.5	96.8	
6192.5	96.8	
6282.7	96.9	
6374.3	97.1	
6467.3	97.3	
6561.6	97.6	
6657.2	98.0	
6754.3	98.4	
6852.8	98.8	
6952.7	99.3	
7054.0	99.8	
7156.9	100.1	
7261.2	100.2	
7367.1	99.9	
7474.5	99.3	
7583.5	98.4	
7694.0	97.4	
7806.2	96.3	
7920.0	95.2	
8035.5	94.2	
8152.6	93.3	
8271.5	92.5	
8392.1	91.8	
8514.4	91.3	
8638.6	91.1	
8764.5	90.9	
8892.3	90.7	
9021.9	90.5	
9153.5	90.4	
9286.9	90.5	
9422.3	90.7	
9559.7	91.0	
9699.1	91.6	
9840.5	92.3	
9983.9	93.2	
10129.5	94.2	
10277.2	95.1	
10427.0	95.8	
10579.0	96.2	
10733.3	96.4	
10889.7	96.3	
11048.5	96.2	
11209.6	96.0	
11373.0	95.6	
11538.8	95.1	
11707.1	94.3	
11877.7	93.5	
12050.9	92.8	
12226.6	92.2	
12404.9	91.7	
12585.7	91.3	
12769.2	91.2	
12955.4	91.1	
13144.3	91.1	
13335.9	90.9	
13530.3	90.5	
13727.6	90.1	
13927.7	89.7	
14130.8	89.4	
14336.8	89.4	
14545.8	89.5	
14757.9	90.0	
14973.0	90.7	
15191.3	91.8	
15412.8	93.0	
15637.5	94.0	
15865.5	94.8	
16096.8	95.5	
16331.5	96.5	
16569.6	97.3	
16811.2	96.6	
17056.3	95.2	
17304.9	93.3	
17557.2	90.6	
17813.2	87.5	
18072.9	84.5	
18336.4	81.8	
18603.7	79.7	
18875.0	77.8	
19150.1	76.5	
19429.3	75.1	
19712.6	74.4	
20000.0	73.5	
