Frequency	dB	Unweighted
19.5	98.8	
19.8	98.8	
20.1	98.9	
20.4	99.0	
20.7	99.1	
21.0	99.3	
21.3	99.3	
21.6	99.4	
21.9	99.5	
22.2	99.6	
22.5	99.7	
22.9	99.8	
23.2	99.9	
23.5	100.0	
23.9	100.1	
24.2	100.2	
24.6	100.3	
24.9	100.4	
25.3	100.4	
25.7	100.5	
26.0	100.6	
26.4	100.7	
26.8	100.7	
27.2	100.8	
27.6	100.9	
28.0	101.0	
28.4	101.1	
28.8	101.1	
29.2	101.2	
29.7	101.3	
30.1	101.3	
30.5	101.4	
31.0	101.5	
31.4	101.6	
31.9	101.6	
32.4	101.7	
32.8	101.7	
33.3	101.7	
33.8	101.8	
34.3	101.8	
34.8	101.9	
35.3	101.9	
35.8	102.0	
36.3	102.0	
36.9	102.1	
37.4	102.1	
37.9	102.1	
38.5	102.1	
39.1	102.2	
39.6	102.2	
40.2	102.2	
40.8	102.2	
41.4	102.2	
42.0	102.3	
42.6	102.3	
43.2	102.3	
43.9	102.3	
44.5	102.3	
45.1	102.3	
45.8	102.3	
46.5	102.3	
47.1	102.3	
47.8	102.3	
48.5	102.3	
49.2	102.2	
50.0	102.2	
50.7	102.2	
51.4	102.2	
52.2	102.2	
52.9	102.3	
53.7	102.3	
54.5	102.2	
55.3	102.1	
56.1	102.1	
56.9	102.1	
57.7	102.0	
58.6	101.9	
59.4	102.0	
60.3	101.9	
61.2	101.8	
62.1	101.8	
63.0	101.8	
63.9	101.6	
64.8	101.5	
65.8	101.6	
66.7	101.7	
67.7	101.6	
68.7	101.5	
69.7	101.4	
70.7	101.3	
71.7	101.3	
72.8	101.2	
73.8	101.1	
74.9	101.1	
76.0	101.0	
77.1	100.9	
78.3	100.8	
79.4	100.8	
80.5	100.7	
81.7	100.7	
82.9	100.7	
84.1	100.5	
85.4	100.3	
86.6	100.3	
87.9	100.2	
89.1	100.2	
90.4	100.2	
91.8	100.0	
93.1	99.9	
94.5	99.8	
95.8	99.7	
97.2	99.6	
98.6	99.6	
100.1	99.6	
101.5	99.4	
103.0	99.3	
104.5	99.2	
106.0	99.1	
107.6	99.0	
109.2	98.9	
110.8	98.9	
112.4	98.8	
114.0	98.7	
115.7	98.6	
117.4	98.5	
119.1	98.4	
120.8	98.3	
122.6	98.2	
124.3	98.1	
126.2	98.1	
128.0	98.0	
129.9	98.0	
131.8	97.7	
133.7	97.5	
135.6	97.8	
137.6	97.6	
139.6	97.5	
141.7	97.4	
143.7	97.4	
145.8	97.3	
147.9	97.2	
150.1	97.1	
152.3	97.0	
154.5	97.0	
156.8	96.9	
159.0	96.8	
161.4	96.8	
163.7	96.7	
166.1	96.7	
168.5	96.6	
171.0	96.6	
173.5	96.3	
176.0	96.4	
178.6	96.3	
181.2	96.4	
183.8	96.2	
186.5	96.2	
189.2	96.1	
192.0	96.0	
194.8	96.0	
197.6	95.9	
200.5	95.9	
203.4	95.9	
206.4	95.8	
209.4	95.7	
212.4	95.7	
215.5	95.7	
218.7	95.6	
221.9	95.6	
225.1	95.5	
228.4	95.5	
231.7	95.5	
235.1	95.4	
238.5	95.4	
242.0	95.3	
245.5	95.3	
249.1	95.2	
252.7	95.2	
256.4	95.3	
260.2	95.3	
263.9	95.2	
267.8	95.2	
271.7	95.3	
275.7	95.1	
279.7	95.1	
283.8	95.1	
287.9	95.1	
292.1	95.0	
296.3	95.0	
300.7	94.9	
305.1	95.0	
309.5	94.9	
314.0	94.9	
318.6	94.9	
323.2	94.8	
327.9	94.8	
332.7	94.8	
337.6	94.7	
342.5	94.7	
347.5	94.7	
352.6	94.7	
357.7	94.7	
362.9	94.6	
368.2	94.6	
373.6	94.5	
379.0	94.5	
384.5	94.5	
390.2	94.5	
395.8	94.4	
401.6	94.4	
407.5	94.4	
413.4	94.3	
419.4	94.3	
425.6	94.3	
431.8	94.2	
438.1	94.2	
444.4	94.2	
450.9	94.2	
457.5	94.1	
464.2	94.1	
470.9	94.1	
477.8	94.0	
484.8	94.0	
491.8	94.0	
499.0	93.9	
506.3	93.9	
513.7	93.9	
521.1	93.8	
528.7	93.9	
536.5	93.8	
544.3	93.8	
552.2	93.7	
560.3	93.7	
568.4	93.7	
576.7	93.7	
585.1	93.7	
593.7	93.6	
602.3	93.6	
611.1	93.6	
620.0	93.5	
629.0	93.5	
638.2	93.5	
647.5	93.4	
657.0	93.4	
666.5	93.3	
676.2	93.3	
686.1	93.2	
696.1	93.2	
706.3	93.2	
716.6	93.1	
727.0	93.0	
737.6	93.0	
748.4	93.0	
759.3	92.9	
770.3	92.9	
781.6	92.8	
793.0	92.8	
804.5	92.8	
816.3	92.7	
828.2	92.7	
840.2	92.7	
852.5	92.7	
864.9	92.6	
877.5	92.7	
890.3	92.7	
903.3	92.7	
916.5	92.7	
929.8	92.8	
943.4	92.8	
957.1	92.9	
971.1	92.9	
985.2	93.0	
999.6	93.0	
1014.2	93.1	
1029.0	93.2	
1044.0	93.2	
1059.2	93.3	
1074.6	93.4	
1090.3	93.5	
1106.2	93.6	
1122.3	93.7	
1138.7	93.8	
1155.3	93.9	
1172.1	94.0	
1189.2	94.1	
1206.6	94.2	
1224.1	94.3	
1242.0	94.4	
1260.1	94.5	
1278.5	94.6	
1297.1	94.7	
1316.0	94.8	
1335.2	94.9	
1354.7	95.0	
1374.4	95.0	
1394.5	95.1	
1414.8	95.2	
1435.4	95.3	
1456.3	95.4	
1477.6	95.5	
1499.1	95.6	
1521.0	95.7	
1543.1	95.7	
1565.6	95.8	
1588.5	95.9	
1611.6	96.0	
1635.1	96.1	
1659.0	96.2	
1683.2	96.4	
1707.7	96.5	
1732.6	96.6	
1757.8	96.7	
1783.5	96.8	
1809.5	96.9	
1835.9	97.1	
1862.6	97.2	
1889.8	97.3	
1917.3	97.5	
1945.3	97.6	
1973.6	97.8	
2002.4	97.9	
2031.6	98.1	
2061.2	98.3	
2091.3	98.5	
2121.8	98.7	
2152.7	98.8	
2184.1	99.0	
2215.9	99.2	
2248.2	99.4	
2281.0	99.6	
2314.3	99.9	
2348.0	100.1	
2382.3	100.3	
2417.0	100.6	
2452.2	100.8	
2488.0	101.0	
2524.2	101.3	
2561.0	101.5	
2598.4	101.7	
2636.3	101.9	
2674.7	102.1	
2713.7	102.3	
2753.3	102.5	
2793.4	102.6	
2834.1	102.7	
2875.4	102.8	
2917.4	102.9	
2959.9	102.9	
3003.1	102.9	
3046.8	102.9	
3091.3	102.8	
3136.3	102.8	
3182.1	102.7	
3228.4	102.6	
3275.5	102.4	
3323.3	102.3	
3371.7	102.2	
3420.9	102.1	
3470.8	101.9	
3521.4	101.8	
3572.7	101.7	
3624.8	101.6	
3677.6	101.5	
3731.2	101.4	
3785.6	101.4	
3840.8	101.3	
3896.8	101.2	
3953.6	101.2	
4011.3	101.1	
4069.8	101.1	
4129.1	101.0	
4189.3	100.9	
4250.4	100.8	
4312.3	100.7	
4375.2	100.5	
4439.0	100.3	
4503.7	100.1	
