Frequency	dB	Unweighted
19.5	98.8	
19.8	98.8	
20.1	98.8	
20.4	98.9	
20.7	99.0	
21.0	99.1	
21.3	99.2	
21.6	99.3	
21.9	99.4	
22.2	99.5	
22.5	99.6	
22.9	99.7	
23.2	99.8	
23.5	99.9	
23.9	100.0	
24.2	100.1	
24.6	100.2	
24.9	100.2	
25.3	100.3	
25.7	100.4	
26.0	100.5	
26.4	100.6	
26.8	100.7	
27.2	100.7	
27.6	100.8	
28.0	100.9	
28.4	100.9	
28.8	101.0	
29.2	101.1	
29.7	101.2	
30.1	101.4	
30.5	101.5	
31.0	101.5	
31.4	101.6	
31.9	101.7	
32.4	101.7	
32.8	101.7	
33.3	101.7	
33.8	101.7	
34.3	101.8	
34.8	101.9	
35.3	101.9	
35.8	101.8	
36.3	101.8	
36.9	101.8	
37.4	101.9	
37.9	102.1	
38.5	102.1	
39.1	102.1	
39.6	102.0	
40.2	102.0	
40.8	102.1	
41.4	102.1	
42.0	102.1	
42.6	102.1	
43.2	102.0	
43.9	102.0	
44.5	102.1	
45.1	102.1	
45.8	102.0	
46.5	101.8	
47.1	101.9	
47.8	102.5	
48.5	102.7	
49.2	102.5	
50.0	102.3	
50.7	102.2	
51.4	102.1	
52.2	102.1	
52.9	102.2	
53.7	102.0	
54.5	102.0	
55.3	102.2	
56.1	102.1	
56.9	101.9	
57.7	101.9	
58.6	101.9	
59.4	101.6	
60.3	101.4	
61.2	101.5	
62.1	101.7	
63.0	101.7	
63.9	101.7	
64.8	101.6	
65.8	101.6	
66.7	101.4	
67.7	101.3	
68.7	101.4	
69.7	101.1	
70.7	101.1	
71.7	101.1	
72.8	100.9	
73.8	100.9	
74.9	100.8	
76.0	100.8	
77.1	100.7	
78.3	100.7	
79.4	100.6	
80.5	100.3	
81.7	100.6	
82.9	100.4	
84.1	100.2	
85.4	100.0	
86.6	100.5	
87.9	100.1	
89.1	99.2	
90.4	98.7	
91.8	99.6	
93.1	99.3	
94.5	99.3	
95.8	99.2	
97.2	98.9	
98.6	99.2	
100.1	97.8	
101.5	98.9	
103.0	98.7	
104.5	99.0	
106.0	98.8	
107.6	99.2	
109.2	99.2	
110.8	99.2	
112.4	99.4	
114.0	99.3	
115.7	99.2	
117.4	99.0	
119.1	98.9	
120.8	98.8	
122.6	98.8	
124.3	98.6	
126.2	98.5	
128.0	98.2	
129.9	98.4	
131.8	98.2	
133.7	98.3	
135.6	97.9	
137.6	98.0	
139.6	97.8	
141.7	97.8	
143.7	97.6	
145.8	97.5	
147.9	97.5	
150.1	97.4	
152.3	97.4	
154.5	97.3	
156.8	97.2	
159.0	97.3	
161.4	97.1	
163.7	97.1	
166.1	97.0	
168.5	97.0	
171.0	96.8	
173.5	96.9	
176.0	96.7	
178.6	96.7	
181.2	96.5	
183.8	96.5	
186.5	96.3	
189.2	96.4	
192.0	96.2	
194.8	96.2	
197.6	96.2	
200.5	96.2	
203.4	96.3	
206.4	96.1	
209.4	96.0	
212.4	96.0	
215.5	96.0	
218.7	95.9	
221.9	96.0	
225.1	96.0	
228.4	96.0	
231.7	96.1	
235.1	96.1	
238.5	96.2	
242.0	96.2	
245.5	96.3	
249.1	96.2	
252.7	96.1	
256.4	96.1	
260.2	96.1	
263.9	96.0	
267.8	96.0	
271.7	95.9	
275.7	95.9	
279.7	95.8	
283.8	95.7	
287.9	95.7	
292.1	95.7	
296.3	95.6	
300.7	95.6	
305.1	95.6	
309.5	95.6	
314.0	95.5	
318.6	95.5	
323.2	95.4	
327.9	95.4	
332.7	95.4	
337.6	95.4	
342.5	95.3	
347.5	95.3	
352.6	95.3	
357.7	95.2	
362.9	95.2	
368.2	95.2	
373.6	95.1	
379.0	95.1	
384.5	95.1	
390.2	95.1	
395.8	95.0	
401.6	95.0	
407.5	94.9	
413.4	94.9	
419.4	94.9	
425.6	94.8	
431.8	94.8	
438.1	94.8	
444.4	94.8	
450.9	94.7	
457.5	94.7	
464.2	94.7	
470.9	94.6	
477.8	94.6	
484.8	94.6	
491.8	94.5	
499.0	94.5	
506.3	94.5	
513.7	94.5	
521.1	94.4	
528.7	94.4	
536.5	94.3	
544.3	94.3	
552.2	94.3	
560.3	94.2	
568.4	94.2	
576.7	94.2	
585.1	94.1	
593.7	94.1	
602.3	94.0	
611.1	94.0	
620.0	94.0	
629.0	93.9	
638.2	93.9	
647.5	93.8	
657.0	93.8	
666.5	93.7	
676.2	93.8	
686.1	93.7	
696.1	93.6	
706.3	93.6	
716.6	93.6	
727.0	93.5	
737.6	93.5	
748.4	93.5	
759.3	93.4	
770.3	93.4	
781.6	93.4	
793.0	93.3	
804.5	93.3	
816.3	93.3	
828.2	93.2	
840.2	93.2	
852.5	93.2	
864.9	93.2	
877.5	93.2	
890.3	93.2	
903.3	93.2	
916.5	93.3	
929.8	93.3	
943.4	93.3	
957.1	93.3	
971.1	93.4	
985.2	93.4	
999.6	93.5	
1014.2	93.6	
1029.0	93.6	
1044.0	93.7	
1059.2	93.8	
1074.6	93.9	
1090.3	94.0	
1106.2	94.1	
1122.3	94.2	
1138.7	94.3	
1155.3	94.4	
1172.1	94.5	
1189.2	94.6	
1206.6	94.7	
1224.1	94.8	
1242.0	94.9	
1260.1	95.0	
1278.5	95.1	
1297.1	95.2	
1316.0	95.3	
1335.2	95.3	
1354.7	95.4	
1374.4	95.5	
1394.5	95.6	
1414.8	95.7	
1435.4	95.7	
1456.3	95.8	
1477.6	95.9	
1499.1	96.0	
1521.0	96.1	
1543.1	96.1	
1565.6	96.2	
1588.5	96.3	
1611.6	96.4	
1635.1	96.5	
1659.0	96.5	
1683.2	96.6	
1707.7	96.7	
1732.6	96.8	
1757.8	96.9	
1783.5	97.0	
1809.5	97.1	
1835.9	97.2	
1862.6	97.3	
1889.8	97.5	
1917.3	97.6	
1945.3	97.7	
1973.6	97.8	
2002.4	98.0	
2031.6	98.1	
2061.2	98.3	
2091.3	98.4	
2121.8	98.6	
2152.7	98.7	
2184.1	98.9	
2215.9	99.1	
2248.2	99.2	
2281.0	99.4	
2314.3	99.6	
2348.0	99.8	
2382.3	100.0	
2417.0	100.2	
2452.2	100.4	
2488.0	100.6	
2524.2	100.8	
2561.0	101.0	
2598.4	101.2	
2636.3	101.4	
2674.7	101.5	
2713.7	101.7	
2753.3	101.8	
2793.4	101.9	
2834.1	102.0	
2875.4	102.1	
2917.4	102.1	
2959.9	102.1	
3003.1	102.1	
3046.8	102.1	
3091.3	102.0	
3136.3	101.9	
3182.1	101.8	
3228.4	101.6	
3275.5	101.5	
3323.3	101.3	
3371.7	101.2	
3420.9	101.0	
3470.8	100.9	
3521.4	100.8	
3572.7	100.7	
3624.8	100.5	
3677.6	100.4	
3731.2	100.2	
3785.6	100.1	
3840.8	99.9	
3896.8	99.8	
3953.6	99.6	
4011.3	99.5	
4069.8	99.4	
4129.1	99.3	
4189.3	99.2	
4250.4	99.0	
4312.3	98.9	
4375.2	98.8	
4439.0	98.6	
4503.7	98.5	
