Frequency	dB	Unweighted
19.5	98.8	
19.8	98.8	
20.1	98.8	
20.4	98.9	
20.7	98.9	
21.0	99.0	
21.3	99.1	
21.6	99.3	
21.9	99.5	
22.2	99.7	
22.5	99.9	
22.9	100.1	
23.2	100.2	
23.5	100.3	
23.9	100.4	
24.2	100.4	
24.6	100.4	
24.9	100.5	
25.3	100.6	
25.7	100.8	
26.0	100.9	
26.4	101.0	
26.8	101.1	
27.2	101.1	
27.6	101.1	
28.0	101.2	
28.4	101.2	
28.8	101.4	
29.2	101.5	
29.7	101.5	
30.1	101.6	
30.5	101.6	
31.0	101.7	
31.4	101.7	
31.9	101.7	
32.4	101.8	
32.8	101.8	
33.3	101.9	
33.8	101.9	
34.3	102.0	
34.8	102.1	
35.3	102.1	
35.8	102.2	
36.3	102.2	
36.9	102.3	
37.4	102.3	
37.9	102.3	
38.5	102.3	
39.1	102.3	
39.6	102.3	
40.2	102.4	
40.8	102.4	
41.4	102.4	
42.0	102.4	
42.6	102.4	
43.2	102.4	
43.9	102.4	
44.5	102.4	
45.1	102.5	
45.8	102.5	
46.5	102.5	
47.1	102.5	
47.8	102.5	
48.5	102.4	
49.2	102.4	
50.0	102.5	
50.7	102.5	
51.4	102.5	
52.2	102.4	
52.9	102.4	
53.7	102.3	
54.5	102.3	
55.3	102.3	
56.1	102.3	
56.9	102.2	
57.7	102.2	
58.6	102.1	
59.4	102.3	
60.3	102.3	
61.2	102.0	
62.1	101.9	
63.0	102.1	
63.9	102.3	
64.8	102.2	
65.8	101.7	
66.7	101.4	
67.7	101.6	
68.7	101.7	
69.7	101.5	
70.7	101.5	
71.7	101.5	
72.8	101.4	
73.8	101.2	
74.9	101.2	
76.0	101.1	
77.1	101.0	
78.3	101.0	
79.4	100.9	
80.5	101.0	
81.7	100.8	
82.9	100.8	
84.1	100.7	
85.4	100.5	
86.6	100.5	
87.9	100.3	
89.1	100.4	
90.4	100.3	
91.8	100.2	
93.1	100.0	
94.5	99.9	
95.8	99.9	
97.2	99.8	
98.6	99.7	
100.1	99.7	
101.5	99.5	
103.0	99.4	
104.5	99.4	
106.0	99.2	
107.6	99.1	
109.2	99.0	
110.8	99.0	
112.4	98.9	
114.0	98.7	
115.7	98.6	
117.4	98.6	
119.1	98.4	
120.8	98.4	
122.6	98.3	
124.3	98.1	
126.2	98.0	
128.0	98.0	
129.9	97.7	
131.8	97.8	
133.7	97.5	
135.6	97.7	
137.6	97.2	
139.6	97.2	
141.7	97.1	
143.7	97.0	
145.8	97.0	
147.9	97.1	
150.1	97.4	
152.3	97.4	
154.5	97.3	
156.8	97.4	
159.0	97.4	
161.4	97.3	
163.7	97.3	
166.1	97.2	
168.5	97.1	
171.0	97.1	
173.5	97.0	
176.0	96.9	
178.6	96.8	
181.2	96.8	
183.8	96.6	
186.5	96.6	
189.2	96.6	
192.0	96.6	
194.8	96.5	
197.6	96.4	
200.5	96.4	
203.4	96.3	
206.4	96.3	
209.4	96.2	
212.4	96.2	
215.5	96.1	
218.7	96.0	
221.9	96.1	
225.1	96.0	
228.4	95.9	
231.7	95.9	
235.1	95.9	
238.5	95.8	
242.0	95.8	
245.5	95.8	
249.1	95.7	
252.7	95.6	
256.4	95.7	
260.2	95.5	
263.9	95.6	
267.8	95.5	
271.7	95.5	
275.7	95.4	
279.7	95.4	
283.8	95.4	
287.9	95.3	
292.1	95.4	
296.3	95.4	
300.7	95.4	
305.1	95.4	
309.5	95.4	
314.0	95.4	
318.6	95.4	
323.2	95.3	
327.9	95.3	
332.7	95.3	
337.6	95.3	
342.5	95.3	
347.5	95.2	
352.6	95.1	
357.7	95.1	
362.9	95.0	
368.2	95.0	
373.6	95.0	
379.0	94.9	
384.5	95.0	
390.2	94.9	
395.8	94.9	
401.6	94.8	
407.5	94.9	
413.4	94.8	
419.4	94.7	
425.6	94.7	
431.8	94.7	
438.1	94.7	
444.4	94.6	
450.9	94.6	
457.5	94.5	
464.2	94.5	
470.9	94.5	
477.8	94.4	
484.8	94.4	
491.8	94.4	
499.0	94.4	
506.3	94.3	
513.7	94.3	
521.1	94.2	
528.7	94.2	
536.5	94.2	
544.3	94.2	
552.2	94.1	
560.3	94.1	
568.4	94.0	
576.7	94.0	
585.1	94.0	
593.7	93.9	
602.3	93.9	
611.1	93.9	
620.0	93.9	
629.0	93.8	
638.2	93.7	
647.5	93.7	
657.0	93.7	
666.5	93.6	
676.2	93.6	
686.1	93.5	
696.1	93.5	
706.3	93.5	
716.6	93.4	
727.0	93.4	
737.6	93.3	
748.4	93.3	
759.3	93.2	
770.3	93.2	
781.6	93.2	
793.0	93.1	
804.5	93.1	
816.3	93.1	
828.2	93.1	
840.2	93.0	
852.5	93.0	
864.9	93.0	
877.5	93.0	
890.3	93.0	
903.3	93.1	
916.5	93.1	
929.8	93.1	
943.4	93.2	
957.1	93.2	
971.1	93.3	
985.2	93.3	
999.6	93.4	
1014.2	93.4	
1029.0	93.5	
1044.0	93.6	
1059.2	93.7	
1074.6	93.8	
1090.3	93.9	
1106.2	94.0	
1122.3	94.1	
1138.7	94.2	
1155.3	94.3	
1172.1	94.4	
1189.2	94.5	
1206.6	94.6	
1224.1	94.7	
1242.0	94.8	
1260.1	94.9	
1278.5	95.0	
1297.1	95.1	
1316.0	95.2	
1335.2	95.3	
1354.7	95.4	
1374.4	95.5	
1394.5	95.5	
1414.8	95.6	
1435.4	95.7	
1456.3	95.8	
1477.6	95.9	
1499.1	96.0	
1521.0	96.0	
1543.1	96.1	
1565.6	96.2	
1588.5	96.3	
1611.6	96.4	
1635.1	96.5	
1659.0	96.6	
1683.2	96.7	
1707.7	96.8	
1732.6	96.9	
1757.8	97.0	
1783.5	97.1	
1809.5	97.2	
1835.9	97.3	
1862.6	97.4	
1889.8	97.6	
1917.3	97.7	
1945.3	97.8	
1973.6	98.0	
2002.4	98.1	
2031.6	98.2	
2061.2	98.4	
2091.3	98.6	
2121.8	98.7	
2152.7	98.9	
2184.1	99.1	
2215.9	99.2	
2248.2	99.4	
2281.0	99.6	
2314.3	99.8	
2348.0	100.0	
2382.3	100.3	
2417.0	100.5	
2452.2	100.7	
2488.0	100.9	
2524.2	101.1	
2561.0	101.3	
2598.4	101.5	
2636.3	101.6	
2674.7	101.8	
2713.7	102.0	
2753.3	102.1	
2793.4	102.2	
2834.1	102.3	
2875.4	102.3	
2917.4	102.3	
2959.9	102.3	
3003.1	102.3	
3046.8	102.2	
3091.3	102.2	
3136.3	102.1	
3182.1	102.1	
3228.4	102.0	
3275.5	101.9	
3323.3	101.8	
3371.7	101.6	
3420.9	101.4	
3470.8	101.3	
3521.4	101.1	
3572.7	100.9	
3624.8	100.8	
3677.6	100.6	
3731.2	100.5	
3785.6	100.3	
3840.8	100.1	
3896.8	100.0	
3953.6	99.9	
4011.3	99.7	
4069.8	99.6	
4129.1	99.5	
4189.3	99.4	
4250.4	99.3	
4312.3	99.2	
4375.2	99.1	
4439.0	99.0	
4503.7	98.9	
