Frequency	dB	Unweighted
19.5	98.6	
19.8	98.6	
20.1	98.7	
20.4	98.8	
20.7	99.0	
21.0	99.2	
21.3	99.3	
21.6	99.4	
21.9	99.4	
22.2	99.5	
22.5	99.6	
22.9	99.7	
23.2	99.8	
23.5	99.9	
23.9	100.0	
24.2	100.1	
24.6	100.1	
24.9	100.3	
25.3	100.4	
25.7	100.5	
26.0	100.6	
26.4	100.7	
26.8	100.7	
27.2	100.8	
27.6	100.9	
28.0	100.9	
28.4	101.0	
28.8	101.1	
29.2	101.2	
29.7	101.3	
30.1	101.3	
30.5	101.4	
31.0	101.4	
31.4	101.5	
31.9	101.6	
32.4	101.6	
32.8	101.7	
33.3	101.7	
33.8	101.7	
34.3	101.8	
34.8	101.8	
35.3	101.8	
35.8	101.9	
36.3	102.0	
36.9	102.0	
37.4	102.0	
37.9	102.0	
38.5	102.0	
39.1	102.1	
39.6	102.1	
40.2	102.1	
40.8	102.1	
41.4	102.1	
42.0	102.1	
42.6	102.1	
43.2	102.2	
43.9	102.2	
44.5	102.2	
45.1	102.1	
45.8	102.1	
46.5	102.2	
47.1	102.1	
47.8	101.8	
48.5	101.6	
49.2	101.7	
50.0	101.8	
50.7	102.0	
51.4	102.3	
52.2	102.4	
52.9	102.2	
53.7	102.2	
54.5	102.3	
55.3	102.1	
56.1	102.0	
56.9	102.1	
57.7	102.0	
58.6	102.1	
59.4	102.2	
60.3	102.0	
61.2	101.6	
62.1	101.5	
63.0	101.7	
63.9	101.5	
64.8	101.4	
65.8	101.8	
66.7	101.3	
67.7	101.5	
68.7	101.9	
69.7	101.2	
70.7	101.4	
71.7	101.5	
72.8	101.2	
73.8	101.2	
74.9	101.2	
76.0	101.1	
77.1	101.0	
78.3	100.9	
79.4	100.8	
80.5	100.8	
81.7	100.7	
82.9	100.5	
84.1	100.4	
85.4	100.5	
86.6	100.4	
87.9	100.5	
89.1	100.2	
90.4	99.8	
91.8	100.1	
93.1	100.1	
94.5	99.9	
95.8	99.8	
97.2	99.6	
98.6	99.7	
100.1	100.1	
101.5	99.4	
103.0	99.4	
104.5	99.2	
106.0	99.2	
107.6	99.2	
109.2	99.1	
110.8	99.0	
112.4	98.9	
114.0	98.8	
115.7	98.6	
117.4	98.6	
119.1	98.4	
120.8	98.5	
122.6	98.5	
124.3	97.9	
126.2	97.9	
128.0	98.0	
129.9	97.9	
131.8	98.1	
133.7	97.9	
135.6	96.3	
137.6	97.7	
139.6	97.5	
141.7	97.4	
143.7	97.4	
145.8	97.3	
147.9	97.3	
150.1	97.3	
152.3	97.2	
154.5	97.1	
156.8	97.0	
159.0	97.0	
161.4	96.8	
163.7	96.7	
166.1	96.5	
168.5	96.7	
171.0	96.6	
173.5	96.5	
176.0	96.5	
178.6	96.6	
181.2	96.6	
183.8	96.5	
186.5	96.6	
189.2	96.6	
192.0	96.4	
194.8	96.4	
197.6	96.3	
200.5	96.3	
203.4	96.1	
206.4	96.2	
209.4	96.2	
212.4	96.1	
215.5	96.2	
218.7	96.1	
221.9	96.1	
225.1	96.0	
228.4	96.1	
231.7	96.0	
235.1	96.0	
238.5	96.0	
242.0	95.9	
245.5	95.9	
249.1	95.8	
252.7	95.8	
256.4	95.7	
260.2	95.7	
263.9	95.7	
267.8	95.6	
271.7	95.5	
275.7	95.6	
279.7	95.6	
283.8	95.5	
287.9	95.4	
292.1	95.4	
296.3	95.4	
300.7	95.2	
305.1	95.3	
309.5	95.2	
314.0	95.2	
318.6	95.3	
323.2	95.2	
327.9	95.3	
332.7	95.4	
337.6	95.3	
342.5	95.4	
347.5	95.4	
352.6	95.3	
357.7	95.3	
362.9	95.3	
368.2	95.2	
373.6	95.1	
379.0	95.1	
384.5	95.1	
390.2	95.0	
395.8	95.0	
401.6	94.9	
407.5	94.9	
413.4	94.9	
419.4	94.9	
425.6	94.8	
431.8	94.8	
438.1	94.8	
444.4	94.7	
450.9	94.7	
457.5	94.7	
464.2	94.7	
470.9	94.6	
477.8	94.6	
484.8	94.5	
491.8	94.5	
499.0	94.5	
506.3	94.5	
513.7	94.4	
521.1	94.3	
528.7	94.3	
536.5	94.2	
544.3	94.3	
552.2	94.2	
560.3	94.2	
568.4	94.2	
576.7	94.1	
585.1	94.1	
593.7	94.0	
602.3	94.0	
611.1	94.0	
620.0	94.0	
629.0	93.9	
638.2	93.8	
647.5	93.8	
657.0	93.7	
666.5	93.7	
676.2	93.6	
686.1	93.6	
696.1	93.6	
706.3	93.5	
716.6	93.5	
727.0	93.5	
737.6	93.5	
748.4	93.4	
759.3	93.3	
770.3	93.3	
781.6	93.3	
793.0	93.3	
804.5	93.2	
816.3	93.2	
828.2	93.2	
840.2	93.2	
852.5	93.2	
864.9	93.2	
877.5	93.2	
890.3	93.1	
903.3	93.2	
916.5	93.2	
929.8	93.2	
943.4	93.2	
957.1	93.3	
971.1	93.3	
985.2	93.4	
999.6	93.4	
1014.2	93.5	
1029.0	93.6	
1044.0	93.6	
1059.2	93.7	
1074.6	93.8	
1090.3	93.9	
1106.2	94.0	
1122.3	94.1	
1138.7	94.2	
1155.3	94.3	
1172.1	94.4	
1189.2	94.5	
1206.6	94.6	
1224.1	94.7	
1242.0	94.8	
1260.1	94.9	
1278.5	95.0	
1297.1	95.1	
1316.0	95.2	
1335.2	95.3	
1354.7	95.4	
1374.4	95.5	
1394.5	95.5	
1414.8	95.6	
1435.4	95.7	
1456.3	95.8	
1477.6	95.8	
1499.1	95.9	
1521.0	96.0	
1543.1	96.1	
1565.6	96.1	
1588.5	96.2	
1611.6	96.3	
1635.1	96.4	
1659.0	96.5	
1683.2	96.6	
1707.7	96.6	
1732.6	96.7	
1757.8	96.8	
1783.5	96.9	
1809.5	97.1	
1835.9	97.2	
1862.6	97.3	
1889.8	97.4	
1917.3	97.5	
1945.3	97.6	
1973.6	97.8	
2002.4	97.9	
2031.6	98.0	
2061.2	98.2	
2091.3	98.3	
2121.8	98.5	
2152.7	98.7	
2184.1	98.8	
2215.9	99.0	
2248.2	99.2	
2281.0	99.4	
2314.3	99.6	
2348.0	99.7	
2382.3	100.0	
2417.0	100.1	
2452.2	100.4	
2488.0	100.6	
2524.2	100.8	
2561.0	100.9	
2598.4	101.1	
2636.3	101.3	
2674.7	101.5	
2713.7	101.6	
2753.3	101.8	
2793.4	101.9	
2834.1	102.0	
2875.4	102.1	
2917.4	102.1	
2959.9	102.1	
3003.1	102.1	
3046.8	102.1	
3091.3	102.0	
3136.3	101.9	
3182.1	101.8	
3228.4	101.7	
3275.5	101.6	
3323.3	101.4	
3371.7	101.3	
3420.9	101.1	
3470.8	100.9	
3521.4	100.8	
3572.7	100.6	
3624.8	100.5	
3677.6	100.3	
3731.2	100.1	
3785.6	100.0	
3840.8	99.8	
3896.8	99.7	
3953.6	99.6	
4011.3	99.4	
4069.8	99.3	
4129.1	99.2	
4189.3	99.1	
4250.4	99.0	
4312.3	98.8	
4375.2	98.7	
4439.0	98.6	
4503.7	98.4	
4569.4	98.2	
4636.0	98.0	
4703.6	97.8	
4772.2	97.6	
4841.7	97.4	
4912.3	97.3	
4984.0	97.1	
5056.6	97.0	
5130.3	96.8	
5205.1	96.7	
5281.0	96.5	
5358.0	96.4	
5436.1	96.3	
5515.4	96.1	
5595.8	95.9	
5677.4	95.7	
5760.1	95.6	
5844.1	95.4	
5929.3	95.2	
6015.8	95.0	
6103.5	94.9	
6192.5	94.8	
6282.7	94.7	
6374.3	94.6	
6467.3	94.6	
6561.6	94.6	
6657.2	94.7	
6754.3	94.8	
6852.8	95.0	
6952.7	95.3	
7054.0	95.7	
7156.9	96.1	
7261.2	96.7	
7367.1	97.4	
7474.5	98.1	
7583.5	98.8	
7694.0	99.5	
7806.2	99.8	
7920.0	99.5	
8035.5	98.6	
8152.6	97.4	
8271.5	96.0	
8392.1	94.7	
8514.4	93.6	
8638.6	92.8	
8764.5	92.1	
8892.3	91.4	
9021.9	90.7	
9153.5	90.1	
9286.9	89.6	
9422.3	89.3	
9559.7	89.2	
9699.1	89.2	
9840.5	89.4	
9983.9	89.9	
10129.5	90.4	
10277.2	91.1	
10427.0	91.8	
10579.0	92.4	
10733.3	92.7	
10889.7	92.8	
11048.5	92.7	
11209.6	92.4	
11373.0	92.0	
11538.8	91.6	
11707.1	91.1	
11877.7	90.5	
12050.9	89.7	
12226.6	88.7	
12404.9	88.2	
12585.7	87.7	
12769.2	87.3	
12955.4	87.1	
13144.3	87.0	
13335.9	87.2	
13530.3	87.7	
13727.6	88.5	
13927.7	89.5	
14130.8	90.8	
14336.8	92.5	
14545.8	94.3	
14757.9	96.2	
14973.0	97.8	
15191.3	98.7	
15412.8	98.7	
15637.5	98.0	
15865.5	96.8	
16096.8	95.3	
16331.5	93.9	
16569.6	93.5	
16811.2	94.1	
17056.3	94.5	
17304.9	94.0	
17557.2	92.8	
17813.2	91.6	
18072.9	90.8	
18336.4	90.1	
18603.7	88.5	
18875.0	87.5	
19150.1	86.7	
19429.3	85.2	
19712.6	83.1	
20000.0	80.8	
