Frequency	dB	Unweighted
19.5	98.9	
19.8	98.9	
20.1	98.9	
20.4	99.0	
20.7	99.1	
21.0	99.3	
21.3	99.4	
21.6	99.5	
21.9	99.6	
22.2	99.6	
22.5	99.7	
22.9	99.8	
23.2	99.9	
23.5	100.0	
23.9	100.1	
24.2	100.2	
24.6	100.3	
24.9	100.4	
25.3	100.5	
25.7	100.6	
26.0	100.6	
26.4	100.7	
26.8	100.8	
27.2	100.9	
27.6	100.9	
28.0	101.0	
28.4	101.0	
28.8	101.1	
29.2	101.2	
29.7	101.3	
30.1	101.4	
30.5	101.4	
31.0	101.5	
31.4	101.6	
31.9	101.6	
32.4	101.7	
32.8	101.7	
33.3	101.8	
33.8	101.8	
34.3	101.9	
34.8	101.9	
35.3	101.9	
35.8	102.0	
36.3	102.0	
36.9	102.0	
37.4	102.0	
37.9	102.0	
38.5	102.1	
39.1	102.1	
39.6	102.1	
40.2	102.1	
40.8	102.2	
41.4	102.2	
42.0	102.3	
42.6	102.2	
43.2	102.2	
43.9	102.2	
44.5	102.3	
45.1	102.3	
45.8	102.2	
46.5	102.2	
47.1	102.3	
47.8	102.2	
48.5	101.9	
49.2	101.8	
50.0	102.1	
50.7	102.4	
51.4	102.3	
52.2	102.3	
52.9	102.3	
53.7	102.2	
54.5	102.1	
55.3	102.0	
56.1	102.0	
56.9	102.0	
57.7	101.9	
58.6	101.8	
59.4	101.8	
60.3	101.8	
61.2	102.0	
62.1	102.0	
63.0	101.7	
63.9	101.6	
64.8	101.8	
65.8	101.6	
66.7	101.7	
67.7	101.8	
68.7	101.6	
69.7	101.5	
70.7	101.4	
71.7	101.3	
72.8	101.3	
73.8	101.2	
74.9	101.1	
76.0	101.2	
77.1	100.9	
78.3	100.9	
79.4	100.7	
80.5	100.8	
81.7	100.8	
82.9	100.7	
84.1	100.4	
85.4	100.3	
86.6	100.3	
87.9	100.3	
89.1	100.1	
90.4	100.0	
91.8	99.9	
93.1	99.9	
94.5	99.9	
95.8	99.7	
97.2	99.6	
98.6	99.4	
100.1	99.6	
101.5	99.3	
103.0	99.1	
104.5	99.0	
106.0	99.0	
107.6	99.0	
109.2	98.7	
110.8	98.7	
112.4	98.7	
114.0	98.4	
115.7	98.5	
117.4	98.3	
119.1	98.2	
120.8	98.1	
122.6	97.8	
124.3	98.2	
126.2	97.8	
128.0	97.7	
129.9	97.8	
131.8	97.9	
133.7	96.6	
135.6	97.3	
137.6	98.2	
139.6	95.8	
141.7	96.9	
143.7	96.5	
145.8	96.7	
147.9	95.9	
150.1	96.9	
152.3	96.8	
154.5	95.4	
156.8	97.7	
159.0	96.8	
161.4	97.3	
163.7	97.2	
166.1	97.5	
168.5	97.3	
171.0	97.2	
173.5	97.0	
176.0	97.0	
178.6	97.1	
181.2	97.0	
183.8	96.8	
186.5	96.7	
189.2	96.6	
192.0	96.5	
194.8	96.6	
197.6	96.4	
200.5	96.3	
203.4	96.4	
206.4	96.2	
209.4	96.2	
212.4	96.1	
215.5	96.1	
218.7	96.0	
221.9	95.9	
225.1	95.9	
228.4	95.8	
231.7	95.8	
235.1	95.7	
238.5	95.7	
242.0	95.7	
245.5	95.7	
249.1	95.5	
252.7	95.5	
256.4	95.6	
260.2	95.4	
263.9	95.5	
267.8	95.3	
271.7	95.5	
275.7	95.3	
279.7	95.3	
283.8	95.3	
287.9	95.2	
292.1	95.2	
296.3	95.2	
300.7	95.1	
305.1	95.1	
309.5	95.0	
314.0	94.9	
318.6	94.9	
323.2	94.9	
327.9	94.8	
332.7	94.8	
337.6	94.9	
342.5	94.8	
347.5	94.9	
352.6	94.9	
357.7	95.0	
362.9	94.9	
368.2	95.0	
373.6	94.9	
379.0	94.8	
384.5	94.8	
390.2	94.8	
395.8	94.8	
401.6	94.7	
407.5	94.7	
413.4	94.7	
419.4	94.6	
425.6	94.6	
431.8	94.6	
438.1	94.5	
444.4	94.5	
450.9	94.5	
457.5	94.4	
464.2	94.4	
470.9	94.4	
477.8	94.3	
484.8	94.3	
491.8	94.2	
