Frequency	dB	Unweighted
19.5	97.7	
19.8	97.7	
20.1	97.7	
20.4	97.9	
20.7	98.0	
21.0	98.1	
21.3	98.2	
21.6	98.3	
21.9	98.4	
22.2	98.5	
22.5	98.6	
22.9	98.7	
23.2	98.9	
23.5	99.0	
23.9	99.1	
24.2	99.2	
24.6	99.3	
24.9	99.4	
25.3	99.5	
25.7	99.6	
26.0	99.6	
26.4	99.6	
26.8	99.7	
27.2	99.8	
27.6	99.9	
28.0	100.1	
28.4	100.2	
28.8	100.2	
29.2	100.1	
29.7	100.1	
30.1	100.2	
30.5	100.4	
31.0	100.7	
31.4	100.8	
31.9	100.8	
32.4	100.7	
32.8	100.7	
33.3	100.7	
33.8	100.7	
34.3	100.8	
34.8	100.8	
35.3	100.9	
35.8	101.0	
36.3	101.0	
36.9	101.1	
37.4	101.1	
37.9	101.1	
38.5	101.2	
39.1	101.2	
39.6	101.3	
40.2	101.2	
40.8	101.2	
41.4	101.2	
42.0	101.2	
42.6	101.2	
43.2	101.3	
43.9	101.4	
44.5	101.3	
45.1	101.1	
45.8	101.2	
46.5	101.4	
47.1	101.4	
47.8	101.3	
48.5	101.8	
49.2	102.0	
50.0	101.4	
50.7	100.9	
51.4	101.2	
52.2	101.6	
52.9	101.6	
53.7	101.4	
54.5	101.2	
55.3	101.2	
56.1	101.4	
56.9	101.3	
57.7	101.2	
58.6	101.2	
59.4	101.1	
60.3	101.1	
61.2	100.9	
62.1	100.9	
63.0	101.5	
63.9	101.2	
64.8	101.1	
65.8	101.9	
66.7	100.7	
67.7	100.2	
68.7	101.0	
69.7	100.4	
70.7	100.2	
71.7	100.6	
72.8	100.7	
73.8	100.6	
74.9	100.4	
76.0	100.3	
77.1	100.3	
78.3	100.3	
79.4	100.0	
80.5	99.8	
81.7	99.8	
82.9	99.6	
84.1	99.7	
85.4	99.7	
86.6	99.6	
87.9	99.5	
89.1	99.3	
90.4	99.1	
91.8	99.3	
93.1	99.1	
94.5	99.1	
95.8	98.9	
97.2	98.7	
98.6	98.7	
100.1	98.9	
101.5	98.5	
103.0	98.5	
104.5	98.3	
106.0	98.3	
107.6	98.2	
109.2	98.0	
110.8	97.9	
112.4	97.9	
114.0	97.9	
115.7	97.8	
117.4	97.8	
119.1	97.9	
120.8	97.3	
122.6	97.4	
124.3	97.4	
126.2	97.2	
128.0	96.9	
129.9	96.3	
131.8	96.9	
133.7	96.5	
135.6	96.6	
137.6	96.4	
139.6	96.2	
141.7	96.3	
143.7	96.2	
145.8	96.2	
147.9	96.2	
150.1	96.2	
152.3	96.4	
154.5	96.3	
156.8	96.3	
159.0	96.3	
161.4	96.2	
163.7	96.2	
166.1	96.4	
168.5	96.2	
171.0	96.2	
173.5	96.1	
176.0	96.1	
178.6	96.1	
181.2	95.8	
183.8	95.8	
186.5	95.8	
189.2	95.7	
192.0	95.8	
194.8	95.7	
197.6	95.6	
200.5	95.5	
203.4	95.5	
206.4	95.5	
209.4	95.3	
212.4	95.2	
215.5	95.3	
218.7	95.2	
221.9	95.2	
225.1	95.1	
228.4	95.1	
231.7	95.1	
235.1	95.0	
238.5	95.0	
242.0	95.0	
245.5	95.0	
249.1	94.9	
252.7	94.8	
256.4	94.8	
260.2	94.7	
263.9	94.9	
267.8	94.7	
271.7	94.7	
275.7	94.8	
279.7	94.7	
283.8	94.7	
287.9	94.5	
292.1	94.6	
296.3	94.6	
300.7	94.5	
305.1	94.5	
309.5	94.5	
314.0	94.5	
318.6	94.5	
323.2	94.4	
327.9	94.5	
332.7	94.4	
337.6	94.3	
342.5	94.3	
347.5	94.3	
352.6	94.4	
357.7	94.2	
362.9	94.3	
368.2	94.2	
373.6	94.2	
379.0	94.2	
384.5	94.2	
390.2	94.1	
395.8	94.1	
401.6	94.1	
407.5	94.0	
413.4	94.1	
419.4	94.0	
425.6	94.0	
431.8	94.0	
438.1	94.0	
444.4	93.9	
450.9	93.8	
457.5	93.8	
464.2	93.8	
470.9	93.7	
477.8	93.7	
484.8	93.7	
491.8	93.7	
499.0	93.6	
506.3	93.6	
513.7	93.5	
521.1	93.5	
528.7	93.5	
536.5	93.5	
544.3	93.4	
552.2	93.3	
560.3	93.3	
568.4	93.3	
576.7	93.2	
585.1	93.2	
593.7	93.2	
602.3	93.1	
611.1	93.1	
620.0	93.0	
629.0	93.0	
638.2	93.0	
647.5	92.9	
657.0	92.9	
666.5	92.8	
676.2	92.8	
686.1	92.7	
696.1	92.8	
706.3	92.7	
716.6	92.7	
727.0	92.6	
737.6	92.6	
748.4	92.5	
759.3	92.5	
770.3	92.5	
781.6	92.4	
793.0	92.4	
804.5	92.4	
816.3	92.4	
828.2	92.3	
840.2	92.3	
852.5	92.3	
864.9	92.3	
877.5	92.3	
890.3	92.3	
903.3	92.3	
916.5	92.3	
929.8	92.3	
