Frequency	dB	Unweighted
19.5	100.1	
19.8	100.1	
20.1	100.1	
20.4	100.1	
20.7	100.2	
21.0	100.2	
21.3	100.3	
21.6	100.4	
21.9	100.5	
22.2	100.6	
22.5	100.6	
22.9	100.7	
23.2	100.7	
23.5	100.8	
23.9	100.9	
24.2	100.9	
24.6	101.0	
24.9	101.1	
25.3	101.1	
25.7	101.2	
26.0	101.2	
26.4	101.3	
26.8	101.3	
27.2	101.3	
27.6	101.4	
28.0	101.4	
28.4	101.5	
28.8	101.5	
29.2	101.6	
29.7	101.6	
30.1	101.6	
30.5	101.7	
31.0	101.7	
31.4	101.7	
31.9	101.8	
32.4	101.9	
32.8	102.0	
33.3	101.9	
33.8	101.9	
34.3	101.9	
34.8	101.9	
35.3	101.9	
35.8	101.9	
36.3	101.9	
36.9	101.9	
37.4	102.0	
37.9	102.1	
38.5	102.2	
39.1	102.1	
39.6	102.1	
40.2	102.1	
40.8	102.1	
41.4	102.2	
42.0	102.2	
42.6	102.2	
43.2	102.2	
43.9	102.2	
44.5	102.3	
45.1	102.3	
45.8	102.3	
46.5	102.3	
47.1	102.2	
47.8	102.1	
48.5	102.2	
49.2	102.3	
50.0	102.3	
50.7	102.3	
51.4	102.3	
52.2	102.2	
52.9	102.2	
53.7	102.2	
54.5	102.2	
55.3	102.1	
56.1	102.1	
56.9	102.1	
57.7	102.1	
58.6	102.1	
59.4	102.0	
60.3	101.8	
61.2	102.0	
62.1	102.1	
63.0	101.8	
63.9	101.7	
64.8	101.7	
65.8	101.7	
66.7	101.8	
67.7	101.8	
68.7	101.7	
69.7	101.7	
70.7	101.6	
71.7	101.5	
72.8	101.5	
73.8	101.4	
74.9	101.4	
76.0	101.3	
77.1	101.3	
78.3	101.3	
79.4	101.2	
80.5	101.2	
81.7	101.1	
82.9	101.1	
84.1	101.0	
85.4	100.9	
86.6	100.8	
87.9	100.8	
89.1	100.7	
90.4	100.7	
91.8	100.7	
93.1	100.6	
94.5	100.6	
95.8	100.4	
97.2	100.4	
98.6	100.4	
100.1	100.4	
101.5	100.2	
103.0	100.2	
104.5	100.1	
106.0	100.1	
107.6	100.0	
109.2	100.0	
110.8	99.9	
112.4	99.9	
114.0	99.8	
115.7	99.8	
117.4	99.7	
119.1	99.7	
120.8	99.6	
122.6	99.6	
124.3	99.5	
126.2	99.5	
128.0	99.4	
129.9	99.3	
131.8	99.3	
133.7	99.2	
135.6	99.2	
137.6	99.2	
139.6	99.1	
141.7	99.1	
143.7	99.0	
145.8	99.0	
147.9	99.0	
150.1	99.0	
152.3	99.0	
154.5	98.9	
156.8	98.9	
159.0	98.8	
161.4	98.8	
163.7	98.7	
166.1	98.7	
168.5	98.7	
171.0	98.6	
173.5	98.6	
176.0	98.6	
178.6	98.7	
181.2	98.4	
183.8	98.7	
186.5	98.6	
189.2	98.7	
192.0	98.5	
194.8	98.7	
197.6	98.9	
200.5	98.8	
203.4	98.9	
206.4	98.9	
209.4	99.0	
212.4	99.0	
215.5	99.0	
218.7	99.0	
221.9	99.0	
225.1	99.0	
228.4	99.0	
231.7	99.0	
235.1	99.0	
238.5	99.0	
242.0	99.0	
245.5	99.0	
249.1	99.1	
252.7	99.1	
256.4	99.1	
260.2	99.1	
263.9	99.1	
267.8	99.1	
271.7	99.1	
275.7	99.1	
279.7	99.1	
283.8	99.1	
287.9	99.1	
292.1	99.1	
296.3	99.1	
300.7	99.1	
305.1	99.1	
309.5	99.2	
314.0	99.2	
318.6	99.2	
323.2	99.2	
327.9	99.2	
332.7	99.2	
337.6	99.2	
342.5	99.2	
347.5	99.2	
352.6	99.2	
357.7	99.2	
362.9	99.2	
368.2	99.2	
373.6	99.2	
379.0	99.2	
384.5	99.2	
390.2	99.2	
395.8	99.2	
401.6	99.3	
407.5	99.2	
413.4	99.2	
419.4	99.2	
425.6	99.2	
431.8	99.2	
438.1	99.2	
444.4	99.2	
450.9	99.2	
457.5	99.2	
464.2	99.2	
470.9	99.1	
477.8	99.1	
484.8	99.1	
491.8	99.1	
499.0	99.1	
506.3	99.1	
513.7	99.1	
521.1	99.1	
528.7	99.1	
536.5	99.1	
544.3	99.0	
552.2	99.0	
560.3	99.0	
568.4	99.0	
576.7	99.0	
585.1	99.0	
593.7	98.9	
602.3	98.9	
611.1	98.9	
620.0	98.9	
629.0	98.9	
638.2	98.9	
647.5	98.9	
657.0	98.9	
666.5	98.8	
676.2	98.8	
686.1	98.8	
696.1	98.7	
706.3	98.7	
716.6	98.7	
727.0	98.7	
737.6	98.6	
748.4	98.6	
759.3	98.6	
770.3	98.5	
781.6	98.5	
793.0	98.5	
804.5	98.5	
816.3	98.5	
828.2	98.5	
840.2	98.5	
852.5	98.5	
864.9	98.5	
877.5	98.5	
890.3	98.5	
903.3	98.5	
916.5	98.6	
929.8	98.6	
943.4	98.6	
957.1	98.7	
971.1	98.7	
985.2	98.8	
999.6	98.9	
1014.2	99.0	
1029.0	99.0	
1044.0	99.1	
1059.2	99.2	
1074.6	99.3	
1090.3	99.4	
1106.2	99.5	
1122.3	99.6	
1138.7	99.7	
1155.3	99.9	
1172.1	100.0	
1189.2	100.1	
1206.6	100.2	
1224.1	100.3	
1242.0	100.4	
1260.1	100.5	
1278.5	100.6	
1297.1	100.7	
1316.0	100.8	
1335.2	100.9	
1354.7	101.0	
1374.4	101.1	
1394.5	101.2	
1414.8	101.3	
1435.4	101.4	
1456.3	101.5	
1477.6	101.5	
1499.1	101.6	
1521.0	101.7	
1543.1	101.8	
1565.6	101.9	
1588.5	102.0	
1611.6	102.1	
1635.1	102.2	
1659.0	102.3	
1683.2	102.3	
1707.7	102.4	
1732.6	102.5	
1757.8	102.6	
1783.5	102.7	
1809.5	102.9	
1835.9	103.0	
1862.6	103.1	
1889.8	103.2	
1917.3	103.3	
1945.3	103.5	
1973.6	103.6	
2002.4	103.7	
2031.6	103.9	
2061.2	104.0	
2091.3	104.2	
2121.8	104.4	
2152.7	104.5	
2184.1	104.7	
2215.9	104.9	
2248.2	105.1	
2281.0	105.2	
2314.3	105.4	
2348.0	105.6	
2382.3	105.8	
2417.0	106.0	
2452.2	106.2	
2488.0	106.4	
2524.2	106.6	
2561.0	106.8	
2598.4	107.0	
2636.3	107.2	
2674.7	107.3	
2713.7	107.5	
2753.3	107.6	
2793.4	107.7	
2834.1	107.8	
2875.4	107.8	
2917.4	107.9	
2959.9	107.9	
3003.1	107.8	
3046.8	107.7	
3091.3	107.6	
3136.3	107.5	
3182.1	107.4	
3228.4	107.2	
3275.5	107.1	
3323.3	107.0	
3371.7	106.9	
3420.9	106.7	
3470.8	106.6	
3521.4	106.4	
3572.7	106.2	
3624.8	106.0	
3677.6	105.8	
3731.2	105.6	
3785.6	105.4	
3840.8	105.3	
3896.8	105.1	
3953.6	105.0	
4011.3	104.9	
4069.8	104.7	
4129.1	104.6	
4189.3	104.5	
4250.4	104.4	
4312.3	104.3	
4375.2	104.2	
4439.0	104.1	
4503.7	104.0	
4569.4	103.9	
4636.0	103.7	
4703.6	103.6	
4772.2	103.4	
4841.7	103.3	
4912.3	103.1	
4984.0	102.9	
5056.6	102.8	
5130.3	102.6	
5205.1	102.5	
5281.0	102.3	
5358.0	102.1	
5436.1	101.9	
5515.4	101.7	
5595.8	101.5	
5677.4	101.2	
5760.1	101.0	
5844.1	100.7	
5929.3	100.4	
6015.8	100.1	
6103.5	99.8	
6192.5	99.5	
6282.7	99.3	
6374.3	99.0	
6467.3	98.8	
6561.6	98.6	
6657.2	98.4	
6754.3	98.3	
6852.8	98.2	
6952.7	98.1	
7054.0	98.2	
7156.9	98.2	
7261.2	98.4	
7367.1	98.6	
7474.5	98.9	
7583.5	99.2	
7694.0	99.7	
7806.2	100.3	
7920.0	101.0	
8035.5	101.9	
8152.6	102.8	
8271.5	103.7	
8392.1	104.6	
8514.4	105.2	
8638.6	105.3	
8764.5	104.9	
8892.3	104.2	
9021.9	103.3	
9153.5	102.4	
9286.9	101.7	
9422.3	101.2	
9559.7	100.9	
9699.1	100.7	
9840.5	100.8	
9983.9	100.9	
10129.5	101.0	
10277.2	101.1	
10427.0	101.1	
10579.0	101.0	
10733.3	100.8	
10889.7	100.5	
11048.5	100.1	
11209.6	99.7	
11373.0	99.3	
11538.8	98.8	
11707.1	98.3	
11877.7	97.7	
12050.9	97.0	
12226.6	96.2	
12404.9	95.4	
12585.7	94.6	
12769.2	93.9	
12955.4	93.4	
13144.3	93.0	
13335.9	92.9	
13530.3	93.0	
13727.6	93.3	
13927.7	93.9	
14130.8	94.8	
14336.8	96.0	
14545.8	97.3	
14757.9	98.9	
14973.0	100.2	
15191.3	101.2	
15412.8	101.5	
15637.5	101.2	
15865.5	100.6	
16096.8	99.8	
16331.5	99.2	
16569.6	98.9	
16811.2	98.3	
17056.3	97.1	
17304.9	95.3	
17557.2	93.4	
17813.2	92.0	
18072.9	91.0	
18336.4	90.3	
18603.7	89.6	
18875.0	88.7	
19150.1	88.4	
19429.3	88.6	
19712.6	88.5	
20000.0	87.8	
