Frequency	dB	Unweighted
19.5	97.7	
19.8	97.7	
20.1	97.7	
20.4	97.9	
20.7	98.0	
21.0	98.1	
21.3	98.2	
21.6	98.3	
21.9	98.4	
22.2	98.4	
22.5	98.6	
22.9	98.7	
23.2	98.9	
23.5	99.0	
23.9	99.1	
24.2	99.2	
24.6	99.3	
24.9	99.4	
25.3	99.5	
25.7	99.6	
26.0	99.6	
26.4	99.7	
26.8	99.8	
27.2	99.8	
27.6	99.9	
28.0	99.9	
28.4	100.0	
28.8	100.0	
29.2	100.1	
29.7	100.2	
30.1	100.3	
30.5	100.4	
31.0	100.5	
31.4	100.5	
31.9	100.5	
32.4	100.6	
32.8	100.6	
33.3	100.7	
33.8	100.8	
34.3	100.8	
34.8	100.8	
35.3	100.8	
35.8	100.8	
36.3	100.9	
36.9	101.1	
37.4	101.2	
37.9	101.2	
38.5	101.2	
39.1	101.2	
39.6	101.2	
40.2	101.2	
40.8	101.2	
41.4	101.2	
42.0	101.2	
42.6	101.2	
43.2	101.3	
43.9	101.3	
44.5	101.2	
45.1	101.2	
45.8	101.3	
46.5	101.3	
47.1	101.3	
47.8	101.6	
48.5	101.8	
49.2	101.5	
50.0	101.1	
50.7	101.1	
51.4	101.2	
52.2	101.1	
52.9	100.9	
53.7	101.0	
54.5	101.1	
55.3	101.0	
56.1	101.0	
56.9	101.0	
57.7	100.9	
58.6	101.3	
59.4	101.1	
60.3	101.1	
61.2	101.2	
62.1	100.5	
63.0	100.9	
63.9	101.5	
64.8	100.9	
65.8	100.6	
66.7	100.3	
67.7	101.2	
68.7	101.2	
69.7	99.7	
70.7	100.2	
71.7	100.4	
72.8	100.4	
73.8	100.0	
74.9	99.2	
76.0	100.2	
77.1	99.2	
78.3	98.8	
79.4	98.8	
80.5	99.8	
81.7	99.7	
82.9	99.3	
84.1	99.6	
85.4	99.5	
86.6	99.3	
87.9	99.5	
89.1	99.2	
90.4	99.1	
91.8	99.1	
93.1	99.0	
94.5	98.9	
95.8	98.7	
97.2	98.7	
98.6	98.5	
100.1	98.6	
101.5	98.4	
103.0	98.3	
104.5	98.2	
106.0	98.1	
107.6	97.9	
109.2	97.9	
110.8	97.8	
112.4	97.7	
114.0	97.7	
115.7	97.5	
117.4	97.4	
119.1	97.4	
120.8	97.3	
122.6	97.1	
124.3	97.0	
126.2	96.9	
128.0	97.0	
129.9	96.6	
131.8	96.7	
133.7	96.6	
135.6	95.8	
137.6	96.5	
139.6	95.9	
141.7	96.0	
143.7	96.2	
145.8	96.0	
147.9	96.2	
150.1	96.2	
152.3	96.2	
154.5	96.5	
156.8	96.2	
159.0	96.2	
161.4	96.2	
163.7	96.1	
166.1	96.2	
168.5	96.0	
171.0	95.9	
173.5	95.9	
176.0	95.9	
178.6	95.8	
181.2	95.7	
183.8	95.4	
186.5	95.6	
189.2	95.3	
192.0	95.1	
194.8	95.4	
197.6	95.4	
200.5	95.3	
203.4	94.9	
206.4	95.2	
209.4	95.2	
212.4	95.1	
215.5	95.1	
218.7	95.1	
221.9	95.1	
225.1	95.1	
228.4	95.0	
231.7	94.9	
235.1	94.9	
238.5	94.8	
242.0	94.8	
245.5	94.8	
249.1	94.7	
252.7	94.6	
256.4	94.7	
260.2	94.6	
263.9	94.5	
267.8	94.5	
271.7	94.7	
275.7	94.5	
279.7	94.4	
283.8	94.4	
287.9	94.3	
292.1	94.3	
296.3	94.3	
300.7	94.2	
305.1	94.2	
309.5	94.2	
314.0	94.2	
318.6	94.2	
323.2	94.1	
327.9	94.1	
332.7	94.1	
337.6	94.1	
342.5	94.2	
347.5	94.2	
352.6	94.0	
357.7	94.2	
362.9	94.2	
368.2	94.2	
373.6	94.2	
379.0	94.1	
384.5	94.1	
390.2	94.0	
395.8	94.0	
401.6	93.9	
407.5	93.9	
413.4	93.9	
419.4	93.9	
425.6	93.8	
431.8	93.8	
438.1	93.7	
444.4	93.7	
450.9	93.7	
457.5	93.6	
464.2	93.6	
470.9	93.6	
477.8	93.6	
484.8	93.5	
491.8	93.5	
499.0	93.4	
506.3	93.4	
513.7	93.3	
521.1	93.3	
528.7	93.3	
536.5	93.3	
544.3	93.2	
552.2	93.2	
560.3	93.1	
568.4	93.1	
576.7	93.0	
585.1	93.0	
593.7	93.0	
602.3	93.0	
611.1	92.9	
620.0	92.8	
629.0	92.8	
638.2	92.7	
647.5	92.7	
657.0	92.7	
666.5	92.6	
676.2	92.6	
686.1	92.6	
696.1	92.6	
706.3	92.5	
716.6	92.5	
727.0	92.4	
737.6	92.4	
748.4	92.4	
759.3	92.3	
770.3	92.3	
781.6	92.2	
793.0	92.2	
804.5	92.2	
816.3	92.2	
828.2	92.1	
840.2	92.1	
852.5	92.1	
864.9	92.1	
877.5	92.1	
890.3	92.1	
903.3	92.1	
916.5	92.1	
929.8	92.1	
