Frequency	dB	Unweighted
19.5	97.8	
19.8	97.8	
20.1	97.9	
20.4	98.0	
20.7	98.2	
21.0	98.4	
21.3	98.5	
21.6	98.6	
21.9	98.6	
22.2	98.7	
22.5	98.8	
22.9	98.8	
23.2	99.0	
23.5	99.1	
23.9	99.2	
24.2	99.2	
24.6	99.3	
24.9	99.4	
25.3	99.6	
25.7	99.7	
26.0	99.7	
26.4	99.7	
26.8	99.7	
27.2	99.7	
27.6	100.0	
28.0	100.4	
28.4	100.9	
28.8	101.1	
29.2	101.1	
29.7	100.9	
30.1	100.6	
30.5	100.5	
31.0	100.6	
31.4	100.7	
31.9	100.8	
32.4	100.8	
32.8	100.8	
33.3	100.9	
33.8	101.0	
34.3	101.0	
34.8	101.0	
35.3	100.9	
35.8	101.0	
36.3	101.0	
36.9	101.1	
37.4	101.2	
37.9	101.2	
38.5	101.2	
39.1	101.2	
39.6	101.3	
40.2	101.2	
40.8	101.2	
41.4	101.1	
42.0	101.1	
42.6	101.2	
43.2	101.3	
43.9	101.3	
44.5	101.2	
45.1	101.3	
45.8	101.4	
46.5	101.3	
47.1	101.5	
47.8	101.8	
48.5	102.0	
49.2	101.6	
50.0	101.1	
50.7	101.2	
51.4	101.3	
52.2	101.2	
52.9	101.1	
53.7	101.4	
54.5	101.3	
55.3	101.0	
56.1	100.9	
56.9	100.6	
57.7	100.1	
58.6	100.7	
59.4	101.4	
60.3	101.1	
61.2	100.7	
62.1	101.0	
63.0	101.0	
63.9	101.0	
64.8	100.8	
65.8	100.4	
66.7	100.5	
67.7	100.1	
68.7	99.6	
69.7	100.1	
70.7	99.3	
71.7	99.6	
72.8	100.4	
73.8	100.1	
74.9	100.8	
76.0	100.5	
77.1	100.1	
78.3	100.0	
79.4	100.1	
80.5	99.9	
81.7	99.7	
82.9	99.7	
84.1	99.7	
85.4	99.6	
86.6	99.6	
87.9	99.5	
89.1	99.0	
90.4	98.8	
91.8	99.3	
93.1	98.8	
94.5	98.7	
95.8	98.8	
97.2	98.6	
98.6	98.7	
100.1	98.2	
101.5	98.4	
103.0	98.3	
104.5	97.7	
106.0	98.2	
107.6	98.1	
109.2	97.6	
110.8	97.8	
112.4	98.1	
114.0	97.7	
115.7	97.8	
117.4	97.7	
119.1	97.6	
120.8	97.5	
122.6	97.5	
124.3	97.1	
126.2	97.4	
128.0	97.0	
129.9	96.9	
131.8	96.7	
133.7	97.0	
135.6	96.4	
137.6	96.5	
139.6	96.6	
141.7	96.5	
143.7	96.5	
145.8	96.3	
147.9	96.3	
150.1	96.1	
152.3	96.2	
154.5	95.8	
156.8	96.0	
159.0	95.8	
161.4	95.8	
163.7	95.7	
166.1	95.5	
168.5	95.5	
171.0	95.6	
173.5	95.7	
176.0	95.5	
178.6	95.5	
181.2	95.4	
183.8	95.4	
186.5	95.5	
189.2	95.2	
192.0	95.0	
194.8	95.1	
197.6	95.2	
200.5	95.0	
203.4	94.9	
206.4	94.9	
209.4	95.0	
212.4	94.9	
215.5	94.9	
218.7	94.8	
221.9	94.8	
225.1	94.7	
228.4	94.7	
231.7	94.6	
235.1	94.6	
238.5	94.6	
242.0	94.5	
245.5	94.5	
249.1	94.5	
252.7	94.5	
256.4	94.4	
260.2	94.4	
263.9	94.3	
267.8	94.3	
271.7	94.4	
275.7	94.2	
279.7	94.2	
283.8	94.1	
287.9	94.1	
