Frequency	dB	Unweighted
19.5	111.8	
19.8	111.9	
20.1	112.1	
20.3	112.2	
20.6	112.3	
20.9	112.4	
21.2	112.5	
21.6	112.6	
21.9	112.8	
22.2	112.9	
22.5	113.0	
22.8	113.1	
23.2	113.2	
23.5	113.3	
23.9	113.4	
24.2	113.5	
24.6	113.5	
24.9	113.6	
25.3	113.7	
25.6	113.8	
26.0	113.9	
26.4	113.9	
26.8	114.0	
27.2	114.1	
27.6	114.1	
28.0	114.2	
28.4	114.3	
28.8	114.4	
29.2	114.5	
29.6	114.7	
30.1	114.8	
30.5	114.8	
31.0	114.9	
31.4	114.9	
31.9	115.0	
32.3	115.0	
32.8	115.0	
33.3	115.1	
33.8	115.2	
34.3	115.2	
34.8	115.3	
35.3	115.4	
35.8	115.4	
36.3	115.5	
36.8	115.5	
37.4	115.6	
37.9	115.6	
38.5	115.7	
39.0	115.7	
39.6	115.8	
40.2	115.8	
40.7	115.8	
41.3	115.9	
41.9	115.9	
42.5	115.9	
43.2	115.9	
43.8	115.9	
44.4	116.0	
45.1	116.0	
45.7	116.0	
46.4	116.0	
47.1	116.0	
47.8	116.0	
48.5	116.0	
49.2	116.0	
49.9	116.0	
50.6	116.0	
51.3	116.0	
52.1	116.0	
52.9	116.0	
53.6	116.0	
54.4	116.0	
55.2	116.0	
56.0	116.0	
56.8	115.9	
57.6	115.9	
58.5	115.9	
59.3	115.9	
60.2	115.9	
61.1	115.9	
62.0	115.9	
62.9	115.8	
63.8	115.8	
64.7	115.7	
65.6	115.7	
66.6	115.8	
67.6	115.7	
68.6	115.6	
69.6	115.6	
70.6	115.6	
71.6	115.5	
72.6	115.4	
73.7	115.4	
74.8	115.4	
75.9	115.3	
77.0	115.3	
78.1	115.3	
79.2	115.2	
80.4	115.2	
81.5	115.1	
82.7	115.0	
83.9	115.0	
85.1	114.9	
86.4	114.8	
87.6	114.8	
88.9	114.8	
90.2	114.7	
91.5	114.6	
92.9	114.6	
94.2	114.5	
95.6	114.4	
97.0	114.3	
98.4	114.3	
99.8	114.2	
101.3	114.1	
102.7	114.1	
104.2	114.0	
105.8	113.9	
107.3	113.8	
108.9	113.8	
110.4	113.7	
112.0	113.6	
113.7	113.5	
115.3	113.5	
117.0	113.4	
118.7	113.3	
120.4	113.2	
122.2	113.1	
124.0	113.0	
125.8	112.9	
127.6	112.9	
129.5	112.8	
131.3	112.7	
133.3	112.7	
135.2	112.5	
137.2	112.5	
139.2	112.4	
141.2	112.3	
143.2	112.2	
145.3	112.1	
147.4	112.0	
149.6	111.9	
151.8	111.9	
154.0	111.8	
156.2	111.7	
158.5	111.6	
160.8	111.5	
163.1	111.4	
165.5	111.3	
167.9	111.2	
170.3	111.1	
172.8	111.0	
175.3	111.0	
177.9	110.9	
180.5	110.8	
183.1	110.7	
185.8	110.6	
188.5	110.5	
191.2	110.4	
194.0	110.3	
196.8	110.2	
199.7	110.1	
202.6	110.0	
205.5	110.0	
208.5	109.9	
211.6	109.8	
214.6	109.8	
217.8	109.7	
220.9	109.7	
224.1	109.7	
227.4	109.6	
230.7	109.6	
234.1	109.5	
237.5	109.5	
240.9	109.4	
244.4	109.3	
248.0	109.3	
251.6	109.2	
255.2	109.1	
259.0	109.0	
262.7	109.0	
266.6	108.9	
270.4	108.8	
274.4	108.7	
278.4	108.7	
282.4	108.6	
286.5	108.5	
290.7	108.5	
294.9	108.4	
299.2	108.3	
303.6	108.2	
308.0	108.2	
312.5	108.1	
317.0	108.1	
321.6	108.0	
326.3	107.9	
331.0	107.9	
335.8	107.8	
340.7	107.8	
345.7	107.7	
350.7	107.7	
355.8	107.6	
361.0	107.6	
366.2	107.5	
371.6	107.5	
377.0	107.4	
382.5	107.4	
388.0	107.3	
393.7	107.3	
399.4	107.2	
405.2	107.2	
411.1	107.1	
417.1	107.1	
423.2	107.0	
429.3	107.0	
435.6	106.9	
441.9	106.9	
448.3	106.9	
454.8	106.9	
461.5	106.8	
468.2	106.8	
475.0	106.8	
481.9	106.7	
488.9	106.7	
496.0	106.7	
503.2	106.7	
510.5	106.6	
518.0	106.6	
525.5	106.6	
533.2	106.6	
540.9	106.5	
548.8	106.5	
556.8	106.5	
564.9	106.5	
573.1	106.5	
581.4	106.5	
589.9	106.4	
598.5	106.4	
607.2	106.4	
616.0	106.4	
625.0	106.4	
634.0	106.4	
643.3	106.4	
652.6	106.4	
662.1	106.4	
671.7	106.4	
681.5	106.4	
691.4	106.4	
701.5	106.4	
711.7	106.4	
722.0	106.4	
732.5	106.4	
743.2	106.5	
754.0	106.5	
765.0	106.5	
776.1	106.5	
787.4	106.6	
798.9	106.6	
810.5	106.6	
822.3	106.7	
834.2	106.7	
846.4	106.8	
858.7	106.8	
871.2	106.9	
883.8	107.0	
896.7	107.1	
909.7	107.1	
923.0	107.2	
936.4	107.3	
950.0	107.4	
963.8	107.5	
977.9	107.6	
992.1	107.7	
1006.5	107.8	
1021.1	108.0	
1036.0	108.1	
1051.1	108.2	
1066.4	108.3	
1081.9	108.5	
1097.6	108.6	
1113.6	108.8	
1129.8	108.9	
1146.2	109.1	
1162.9	109.2	
1179.8	109.3	
1197.0	109.5	
1214.4	109.6	
1232.0	109.8	
1250.0	109.9	
1268.1	110.1	
1286.6	110.2	
1305.3	110.4	
1324.3	110.5	
1343.5	110.6	
1363.1	110.8	
1382.9	110.9	
1403.0	111.1	
1423.4	111.2	
1444.1	111.4	
1465.1	111.5	
1486.5	111.7	
1508.1	111.8	
1530.0	112.0	
1552.3	112.1	
1574.9	112.3	
1597.8	112.4	
1621.0	112.6	
1644.6	112.8	
1668.5	112.9	
1692.8	113.1	
1717.4	113.3	
1742.4	113.5	
1767.7	113.7	
1793.4	113.8	
1819.5	114.0	
1846.0	114.2	
1872.8	114.4	
1900.1	114.6	
1927.7	114.8	
1955.8	115.0	
1984.2	115.2	
2013.1	115.4	
2042.3	115.5	
2072.1	115.7	
2102.2	115.9	
2132.8	116.0	
2163.8	116.2	
2195.3	116.3	
2227.2	116.4	
2259.6	116.5	
2292.5	116.5	
2325.8	116.6	
2359.6	116.6	
2394.0	116.6	
2428.8	116.5	
2464.1	116.5	
2500.0	116.4	
2536.3	116.2	
2573.2	116.1	
2610.6	115.9	
2648.6	115.8	
2687.1	115.6	
2726.2	115.3	
2765.9	115.1	
2806.1	114.9	
2846.9	114.7	
2888.3	114.5	
2930.3	114.2	
2973.0	114.0	
3016.2	113.8	
3060.1	113.6	
3104.6	113.4	
3149.8	113.1	
3195.6	112.9	
3242.0	112.7	
3289.2	112.5	
3337.0	112.4	
3385.6	112.2	
3434.8	112.0	
3484.8	111.8	
3535.5	111.7	
3586.9	111.5	
3639.1	111.4	
3692.0	111.2	
3745.7	111.1	
3800.2	111.0	
3855.5	110.9	
3911.6	110.8	
3968.5	110.7	
4026.2	110.6	
4084.7	110.5	
4144.2	110.4	
4204.4	110.4	
4265.6	110.3	
4327.6	110.2	
4390.6	110.1	
4454.4	110.0	
4519.2	109.9	
4585.0	109.8	
4651.7	109.7	
4719.3	109.6	
4788.0	109.5	
4857.6	109.4	
4928.3	109.2	
5000.0	109.1	
5072.7	108.9	
5146.5	108.7	
5221.3	108.5	
5297.3	108.2	
5374.3	108.0	
5452.5	107.7	
5531.8	107.5	
5612.3	107.2	
5693.9	107.0	
5776.7	106.8	
5860.7	106.5	
5946.0	106.4	
6032.5	106.2	
6120.2	106.0	
6209.2	105.9	
6299.6	105.8	
6391.2	105.7	
6484.1	105.6	
6578.5	105.5	
6674.1	105.5	
6771.2	105.5	
6869.7	105.6	
6969.6	105.7	
7071.0	105.8	
7173.9	106.0	
7278.2	106.2	
7384.1	106.5	
7491.5	106.8	
7600.5	107.3	
7711.0	107.8	
7823.2	108.4	
7937.0	109.1	
8052.4	109.9	
8169.5	110.9	
8288.4	112.0	
8408.9	113.0	
8531.2	113.6	
8655.3	113.5	
8781.2	112.6	
8908.9	111.3	
