Frequency	dB	Unweighted
19.5	110.1	
19.8	110.2	
20.1	110.4	
20.3	110.5	
20.6	110.6	
20.9	110.7	
21.2	110.8	
21.6	110.9	
21.9	111.1	
22.2	111.2	
22.5	111.3	
22.8	111.5	
23.2	111.6	
23.5	111.7	
23.9	111.8	
24.2	111.9	
24.6	112.0	
24.9	112.1	
25.3	112.2	
25.6	112.3	
26.0	112.4	
26.4	112.5	
26.8	112.5	
27.2	112.6	
27.6	112.8	
28.0	112.9	
28.4	112.9	
28.8	113.0	
29.2	113.1	
29.6	113.2	
30.1	113.3	
30.5	113.4	
31.0	113.5	
31.4	113.6	
31.9	113.7	
32.3	113.8	
32.8	113.9	
33.3	113.9	
33.8	114.0	
34.3	114.0	
34.8	114.1	
35.3	114.1	
35.8	114.2	
36.3	114.3	
36.8	114.3	
37.4	114.4	
37.9	114.4	
38.5	114.5	
39.0	114.5	
39.6	114.6	
40.2	114.6	
40.7	114.7	
41.3	114.7	
41.9	114.7	
42.5	114.8	
43.2	114.8	
43.8	114.8	
44.4	114.8	
45.1	114.9	
45.7	114.9	
46.4	114.9	
47.1	114.9	
47.8	114.9	
48.5	115.0	
49.2	115.0	
49.9	115.0	
50.6	115.0	
51.3	115.0	
52.1	115.0	
52.9	115.0	
53.6	115.0	
54.4	115.0	
55.2	115.0	
56.0	115.0	
56.8	115.0	
57.6	115.0	
58.5	115.0	
59.3	115.0	
60.2	114.9	
61.1	114.9	
62.0	115.0	
62.9	114.9	
63.8	114.9	
64.7	114.8	
65.6	114.8	
66.6	114.9	
67.6	114.9	
68.6	114.8	
69.6	114.8	
70.6	114.8	
71.6	114.7	
72.6	114.7	
73.7	114.7	
74.8	114.6	
75.9	114.6	
77.0	114.5	
78.1	114.5	
79.2	114.5	
80.4	114.4	
81.5	114.3	
82.7	114.2	
83.9	114.3	
85.1	114.2	
86.4	114.2	
87.6	114.1	
88.9	113.9	
90.2	114.0	
91.5	113.9	
92.9	114.0	
94.2	113.8	
95.6	113.8	
97.0	113.7	
98.4	113.7	
99.8	113.3	
101.3	113.5	
102.7	113.3	
104.2	113.4	
105.8	113.3	
107.3	113.1	
108.9	113.0	
110.4	113.0	
112.0	112.9	
113.7	112.9	
115.3	112.8	
117.0	112.7	
118.7	112.6	
120.4	112.5	
122.2	112.4	
124.0	112.3	
125.8	112.2	
127.6	112.1	
129.5	112.0	
131.3	111.8	
133.3	111.7	
135.2	111.5	
137.2	111.5	
139.2	111.3	
141.2	111.3	
143.2	111.2	
145.3	111.3	
147.4	111.3	
149.6	111.4	
151.8	111.6	
154.0	111.7	
156.2	111.7	
158.5	111.7	
160.8	111.6	
163.1	111.6	
165.5	111.5	
167.9	111.4	
170.3	111.3	
172.8	111.2	
175.3	111.1	
177.9	111.0	
180.5	110.9	
183.1	110.8	
185.8	110.7	
188.5	110.6	
191.2	110.5	
194.0	110.4	
196.8	110.3	
199.7	110.2	
202.6	110.1	
205.5	110.1	
208.5	110.0	
211.6	109.9	
214.6	109.8	
217.8	109.8	
220.9	109.7	
224.1	109.7	
227.4	109.6	
230.7	109.5	
234.1	109.5	
237.5	109.4	
240.9	109.3	
244.4	109.2	
248.0	109.1	
251.6	109.1	
255.2	109.0	
259.0	108.9	
262.7	108.8	
266.6	108.8	
270.4	108.7	
274.4	108.6	
278.4	108.5	
282.4	108.5	
286.5	108.4	
290.7	108.3	
294.9	108.3	
299.2	108.2	
303.6	108.1	
308.0	108.1	
312.5	108.0	
317.0	107.9	
321.6	107.9	
326.3	107.8	
331.0	107.8	
335.8	107.7	
340.7	107.6	
345.7	107.6	
350.7	107.5	
355.8	107.5	
361.0	107.5	
366.2	107.5	
371.6	107.4	
377.0	107.4	
382.5	107.4	
388.0	107.3	
393.7	107.2	
399.4	107.2	
405.2	107.2	
411.1	107.1	
417.1	107.1	
423.2	107.0	
429.3	107.0	
435.6	106.9	
441.9	106.9	
448.3	106.9	
454.8	106.8	
461.5	106.8	
468.2	106.8	
475.0	106.7	
481.9	106.7	
488.9	106.7	
496.0	106.7	
503.2	106.6	
510.5	106.6	
518.0	106.6	
525.5	106.6	
533.2	106.5	
540.9	106.5	
548.8	106.5	
556.8	106.5	
564.9	106.5	
573.1	106.4	
581.4	106.4	
589.9	106.4	
598.5	106.4	
607.2	106.4	
616.0	106.4	
625.0	106.4	
634.0	106.4	
643.3	106.4	
652.6	106.4	
662.1	106.4	
671.7	106.4	
681.5	106.4	
691.4	106.4	
701.5	106.4	
711.7	106.4	
722.0	106.4	
732.5	106.5	
743.2	106.5	
754.0	106.5	
765.0	106.6	
776.1	106.6	
787.4	106.6	
798.9	106.7	
810.5	106.7	
822.3	106.8	
834.2	106.8	
846.4	106.9	
858.7	106.9	
871.2	107.0	
883.8	107.0	
896.7	107.0	
909.7	107.0	
923.0	107.1	
936.4	107.1	
950.0	107.2	
963.8	107.3	
977.9	107.4	
992.1	107.5	
1006.5	107.6	
1021.1	107.8	
1036.0	107.9	
1051.1	108.0	
1066.4	108.2	
1081.9	108.3	
1097.6	108.5	
1113.6	108.6	
1129.8	108.8	
1146.2	108.9	
1162.9	109.0	
1179.8	109.2	
1197.0	109.3	
1214.4	109.5	
1232.0	109.7	
1250.0	109.8	
1268.1	109.9	
1286.6	110.1	
1305.3	110.2	
1324.3	110.4	
1343.5	110.5	
1363.1	110.7	
1382.9	110.8	
1403.0	110.9	
1423.4	111.1	
1444.1	111.2	
1465.1	111.4	
1486.5	111.5	
1508.1	111.7	
1530.0	111.8	
1552.3	112.0	
1574.9	112.1	
1597.8	112.3	
1621.0	112.5	
1644.6	112.6	
1668.5	112.8	
1692.8	113.0	
1717.4	113.1	
1742.4	113.3	
1767.7	113.5	
1793.4	113.7	
1819.5	113.9	
1846.0	114.1	
1872.8	114.2	
1900.1	114.4	
1927.7	114.6	
1955.8	114.8	
1984.2	115.0	
2013.1	115.2	
2042.3	115.4	
2072.1	115.5	
2102.2	115.7	
2132.8	115.8	
2163.8	116.0	
2195.3	116.1	
2227.2	116.2	
2259.6	116.3	
2292.5	116.4	
2325.8	116.4	
2359.6	116.5	
2394.0	116.5	
2428.8	116.4	
2464.1	116.4	
2500.0	116.3	
2536.3	116.2	
2573.2	116.1	
2610.6	116.0	
2648.6	115.8	
2687.1	115.6	
2726.2	115.5	
2765.9	115.3	
2806.1	115.1	
2846.9	114.9	
2888.3	114.6	
2930.3	114.4	
2973.0	114.2	
3016.2	114.0	
3060.1	113.8	
3104.6	113.6	
3149.8	113.3	
3195.6	113.1	
3242.0	112.9	
3289.2	112.7	
3337.0	112.5	
3385.6	112.3	
3434.8	112.1	
3484.8	112.0	
3535.5	111.8	
3586.9	111.6	
3639.1	111.5	
3692.0	111.3	
3745.7	111.2	
3800.2	111.0	
3855.5	110.9	
3911.6	110.7	
3968.5	110.6	
4026.2	110.5	
4084.7	110.4	
4144.2	110.2	
4204.4	110.1	
4265.6	110.0	
4327.6	109.8	
4390.6	109.6	
4454.4	109.6	
4519.2	109.7	
4585.0	109.6	
4651.7	109.5	
4719.3	109.4	
4788.0	109.2	
4857.6	109.1	
4928.3	109.0	
5000.0	108.8	
5072.7	108.7	
5146.5	108.5	
5221.3	108.3	
5297.3	108.1	
5374.3	107.9	
5452.5	107.7	
5531.8	107.5	
5612.3	107.3	
5693.9	107.1	
5776.7	106.9	
5860.7	106.6	
5946.0	106.4	
6032.5	106.1	
6120.2	105.9	
6209.2	105.7	
6299.6	105.5	
6391.2	105.4	
6484.1	105.3	
6578.5	105.3	
6674.1	105.3	
6771.2	105.3	
6869.7	105.4	
