Frequency	dB	Unweighted
19.5	98.1	
19.8	98.1	
20.1	98.1	
20.4	98.2	
20.7	98.2	
21.0	98.1	
21.3	98.1	
21.6	98.2	
21.9	98.4	
22.2	98.6	
22.5	98.8	
22.9	98.9	
23.2	99.1	
23.5	99.2	
23.9	99.2	
24.2	99.3	
24.6	99.4	
24.9	99.5	
25.3	99.5	
25.7	99.6	
26.0	99.7	
26.4	99.8	
26.8	99.9	
27.2	100.1	
27.6	100.2	
28.0	100.3	
28.4	100.3	
28.8	100.4	
29.2	100.4	
29.7	100.5	
30.1	100.6	
30.5	100.7	
31.0	100.7	
31.4	100.8	
31.9	100.8	
32.4	100.9	
32.8	101.0	
33.3	101.0	
33.8	101.1	
34.3	101.2	
34.8	101.3	
35.3	101.3	
35.8	101.4	
36.3	101.4	
36.9	101.4	
37.4	101.5	
37.9	101.5	
38.5	101.6	
39.1	101.6	
39.6	101.7	
40.2	101.7	
40.8	101.7	
41.4	101.7	
42.0	101.8	
42.6	101.8	
43.2	101.9	
43.9	101.9	
44.5	101.9	
45.1	101.9	
45.8	102.0	
46.5	102.0	
47.1	102.0	
47.8	101.9	
48.5	101.8	
49.2	101.9	
50.0	102.0	
50.7	102.2	
51.4	102.1	
52.2	102.0	
52.9	102.1	
53.7	102.1	
54.5	102.1	
55.3	102.1	
56.1	102.1	
56.9	102.2	
57.7	102.5	
58.6	102.3	
59.4	101.7	
60.3	101.5	
61.2	101.6	
62.1	101.9	
63.0	102.1	
63.9	101.9	
64.8	101.7	
65.8	102.0	
66.7	101.9	
67.7	101.9	
68.7	101.9	
69.7	101.9	
70.7	101.8	
71.7	101.7	
72.8	101.8	
73.8	101.8	
74.9	101.5	
76.0	101.5	
77.1	101.6	
78.3	101.5	
79.4	101.5	
80.5	101.4	
81.7	101.5	
82.9	101.4	
84.1	101.4	
85.4	101.3	
86.6	101.4	
87.9	101.1	
89.1	101.2	
90.4	101.1	
91.8	101.1	
93.1	101.0	
94.5	100.9	
95.8	100.9	
97.2	100.8	
98.6	100.8	
100.1	100.8	
101.5	100.6	
103.0	100.5	
104.5	100.5	
106.0	100.4	
107.6	100.3	
109.2	100.2	
110.8	100.2	
112.4	100.0	
114.0	100.0	
115.7	99.9	
117.4	99.9	
119.1	99.4	
120.8	99.6	
122.6	99.5	
124.3	99.5	
126.2	99.2	
128.0	99.2	
129.9	99.0	
131.8	99.0	
133.7	99.0	
135.6	98.7	
137.6	98.7	
139.6	98.7	
141.7	98.6	
143.7	98.7	
145.8	98.7	
147.9	98.6	
150.1	98.5	
152.3	98.7	
154.5	98.5	
156.8	98.6	
159.0	98.7	
161.4	98.5	
163.7	98.2	
166.1	98.3	
168.5	98.2	
171.0	98.1	
173.5	98.2	
176.0	97.9	
178.6	97.7	
181.2	97.5	
183.8	97.6	
186.5	97.5	
189.2	97.5	
192.0	97.4	
194.8	97.1	
197.6	97.0	
200.5	97.0	
203.4	96.9	
206.4	96.8	
209.4	96.8	
212.4	96.6	
215.5	96.5	
218.7	96.5	
221.9	96.4	
225.1	96.3	
228.4	96.2	
231.7	96.1	
235.1	96.0	
238.5	95.9	
242.0	95.8	
245.5	95.7	
249.1	95.7	
252.7	95.5	
256.4	95.5	
260.2	95.4	
263.9	95.3	
267.8	95.3	
271.7	95.2	
