Frequency	dB	Unweighted
19.5	97.8	
19.8	97.8	
20.1	97.9	
20.4	98.0	
20.7	98.2	
21.0	98.3	
21.3	98.4	
21.6	98.4	
21.9	98.5	
22.2	98.6	
22.5	98.8	
22.9	98.9	
23.2	99.0	
23.5	99.1	
23.9	99.2	
24.2	99.2	
24.6	99.3	
24.9	99.4	
25.3	99.6	
25.7	99.7	
26.0	99.7	
26.4	99.8	
26.8	99.8	
27.2	99.9	
27.6	100.0	
28.0	100.1	
28.4	100.2	
28.8	100.3	
29.2	100.4	
29.7	100.5	
30.1	100.5	
30.5	100.6	
31.0	100.6	
31.4	100.7	
31.9	100.8	
32.4	100.8	
32.8	100.9	
33.3	101.0	
33.8	101.1	
34.3	101.1	
34.8	101.2	
35.3	101.2	
35.8	101.3	
36.3	101.3	
36.9	101.4	
37.4	101.4	
37.9	101.5	
38.5	101.5	
39.1	101.6	
39.6	101.6	
40.2	101.6	
40.8	101.6	
41.4	101.7	
42.0	101.7	
42.6	101.7	
43.2	101.7	
43.9	101.8	
44.5	101.8	
45.1	101.9	
45.8	101.9	
46.5	101.9	
47.1	101.9	
47.8	101.9	
48.5	101.9	
49.2	101.9	
50.0	102.0	
50.7	102.0	
51.4	102.0	
52.2	102.0	
52.9	102.0	
53.7	102.0	
54.5	102.0	
55.3	102.1	
56.1	102.0	
56.9	101.8	
57.7	101.8	
58.6	101.9	
59.4	101.7	
60.3	102.1	
61.2	102.5	
62.1	102.0	
63.0	101.5	
63.9	101.8	
64.8	101.5	
65.8	101.6	
66.7	101.5	
67.7	100.7	
68.7	101.1	
69.7	101.7	
70.7	101.6	
71.7	101.7	
72.8	101.6	
73.8	101.6	
74.9	101.6	
76.0	101.5	
77.1	101.4	
78.3	101.3	
79.4	101.5	
80.5	101.3	
81.7	101.3	
82.9	101.2	
84.1	101.1	
85.4	101.1	
86.6	101.0	
87.9	100.9	
89.1	100.5	
90.4	100.9	
91.8	100.7	
93.1	100.7	
94.5	100.7	
95.8	100.7	
97.2	100.6	
98.6	100.5	
100.1	100.4	
101.5	100.4	
103.0	100.3	
104.5	100.2	
106.0	100.1	
107.6	100.1	
109.2	100.0	
110.8	99.9	
112.4	99.8	
114.0	99.7	
115.7	99.6	
117.4	99.7	
119.1	99.4	
120.8	99.4	
122.6	99.3	
124.3	99.1	
126.2	99.1	
128.0	98.9	
129.9	99.0	
131.8	98.7	
133.7	98.4	
135.6	98.9	
137.6	98.3	
139.6	98.2	
141.7	98.2	
143.7	98.4	
145.8	98.3	
147.9	98.4	
150.1	98.4	
152.3	98.3	
154.5	98.0	
156.8	98.2	
159.0	98.1	
161.4	98.1	
163.7	98.2	
166.1	98.0	
168.5	97.9	
171.0	97.8	
173.5	97.6	
176.0	97.6	
178.6	97.5	
181.2	97.4	
183.8	97.3	
186.5	97.2	
189.2	97.1	
192.0	97.0	
194.8	96.8	
197.6	96.7	
200.5	96.7	
203.4	96.6	
206.4	96.5	
209.4	96.4	
212.4	96.3	
215.5	96.2	
218.7	96.2	
221.9	96.0	
225.1	96.0	
228.4	95.9	
231.7	95.7	
235.1	95.6	
238.5	95.6	
242.0	95.5	
245.5	95.4	
249.1	95.4	
252.7	95.2	
256.4	95.1	
260.2	95.1	
263.9	95.1	
267.8	95.0	
271.7	94.8	
275.7	94.8	
279.7	94.7	
283.8	94.7	
287.9	94.5	
