Frequency	dB	Unweighted
19.5	98.4	
19.8	98.4	
20.1	98.5	
20.4	98.6	
20.7	98.7	
21.0	98.8	
21.3	98.8	
21.6	98.8	
21.9	98.8	
22.2	98.9	
22.5	99.0	
22.9	99.0	
23.2	99.1	
23.5	99.2	
23.9	99.3	
24.2	99.4	
24.6	99.6	
24.9	99.8	
25.3	99.9	
25.7	100.0	
26.0	100.1	
26.4	100.1	
26.8	100.2	
27.2	100.3	
27.6	100.4	
28.0	100.5	
28.4	100.5	
28.8	100.5	
29.2	100.6	
29.7	100.7	
30.1	100.8	
30.5	100.9	
31.0	101.0	
31.4	101.0	
31.9	101.1	
32.4	101.2	
32.8	101.2	
33.3	101.3	
33.8	101.3	
34.3	101.4	
34.8	101.4	
35.3	101.5	
35.8	101.6	
36.3	101.6	
36.9	101.7	
37.4	101.7	
37.9	101.7	
38.5	101.8	
39.1	101.8	
39.6	101.8	
40.2	101.9	
40.8	101.9	
41.4	102.0	
42.0	102.1	
42.6	102.1	
43.2	102.1	
43.9	102.1	
44.5	102.1	
45.1	102.1	
45.8	102.2	
46.5	102.2	
47.1	102.2	
47.8	102.2	
48.5	102.2	
49.2	102.3	
50.0	102.3	
50.7	102.3	
51.4	102.2	
52.2	102.2	
52.9	102.2	
53.7	102.3	
54.5	102.3	
55.3	102.4	
56.1	102.4	
56.9	102.4	
57.7	102.3	
58.6	102.2	
59.4	102.3	
60.3	102.2	
61.2	102.2	
62.1	102.3	
63.0	101.9	
63.9	101.8	
64.8	102.1	
65.8	102.1	
66.7	102.1	
67.7	101.9	
68.7	101.9	
69.7	102.2	
70.7	102.1	
71.7	102.1	
72.8	101.9	
73.8	101.9	
74.9	101.9	
76.0	101.7	
77.1	101.8	
78.3	101.7	
79.4	101.6	
80.5	101.6	
81.7	101.6	
82.9	101.6	
84.1	101.5	
85.4	101.4	
86.6	101.3	
87.9	101.2	
89.1	101.5	
90.4	101.2	
91.8	101.1	
93.1	101.1	
94.5	101.0	
95.8	101.0	
97.2	100.9	
98.6	100.9	
100.1	100.9	
101.5	100.7	
103.0	100.6	
104.5	100.6	
106.0	100.5	
107.6	100.4	
109.2	100.3	
110.8	100.2	
112.4	100.2	
114.0	100.0	
115.7	100.0	
117.4	99.8	
119.1	99.8	
120.8	99.7	
122.6	99.6	
124.3	99.4	
126.2	99.4	
128.0	99.3	
129.9	98.5	
131.8	99.0	
133.7	98.9	
135.6	98.8	
137.6	98.8	
139.6	98.7	
141.7	98.7	
143.7	98.7	
145.8	98.7	
147.9	98.8	
150.1	98.9	
152.3	98.7	
154.5	98.7	
156.8	98.7	
159.0	98.5	
161.4	98.5	
163.7	98.3	
166.1	98.3	
168.5	98.1	
171.0	98.1	
173.5	98.0	
176.0	98.0	
178.6	97.9	
181.2	97.6	
183.8	97.6	
186.5	97.5	
189.2	97.4	
192.0	97.4	
194.8	97.2	
197.6	97.1	
200.5	97.0	
203.4	96.9	
206.4	96.8	
209.4	96.7	
212.4	96.6	
215.5	96.5	
218.7	96.4	
221.9	96.4	
225.1	96.2	
228.4	96.1	
231.7	96.1	
235.1	96.0	
238.5	95.9	
242.0	95.8	
245.5	95.7	
249.1	95.6	
252.7	95.7	
256.4	95.5	
260.2	95.5	
263.9	95.3	
267.8	95.3	
271.7	95.2	
275.7	95.1	
279.7	95.1	
283.8	94.9	
287.9	94.9	
292.1	94.8	
296.3	94.7	
300.7	94.7	
305.1	94.6	
309.5	94.5	
314.0	94.5	
318.6	94.3	
323.2	94.3	
327.9	94.2	
332.7	94.1	
337.6	94.1	
342.5	94.0	
347.5	94.0	
352.6	93.9	
357.7	93.8	
362.9	93.7	
368.2	93.7	
373.6	93.6	
379.0	93.5	
384.5	93.5	
390.2	93.5	
395.8	93.4	
401.6	93.3	
407.5	93.3	
413.4	93.3	
419.4	93.1	
425.6	93.1	
431.8	93.1	
438.1	93.0	
444.4	93.0	
450.9	92.9	
457.5	92.9	
464.2	92.8	
470.9	92.8	
477.8	92.8	
484.8	92.7	
491.8	92.6	
499.0	92.6	
506.3	92.6	
513.7	92.5	
521.1	92.6	
528.7	92.4	
536.5	92.5	
544.3	92.4	
552.2	92.4	
560.3	92.3	
568.4	92.3	
576.7	92.3	
585.1	92.3	
593.7	92.3	
602.3	92.2	
611.1	92.2	
620.0	92.2	
629.0	92.2	
638.2	92.2	
647.5	92.1	
657.0	92.1	
666.5	92.1	
676.2	92.1	
686.1	92.1	
696.1	92.0	
706.3	92.1	
716.6	92.1	
727.0	92.1	
737.6	92.1	
748.4	92.1	
759.3	92.1	
770.3	92.1	
781.6	92.1	
793.0	92.1	
804.5	92.2	
816.3	92.2	
828.2	92.2	
840.2	92.3	
852.5	92.3	
864.9	92.3	
877.5	92.4	
890.3	92.4	
903.3	92.4	
916.5	92.5	
