Frequency	dB	Unweighted
19.5	98.0	
19.8	98.0	
20.1	98.0	
20.4	98.1	
20.7	98.2	
21.0	98.4	
21.3	98.6	
21.6	98.8	
21.9	98.9	
22.2	99.0	
22.5	99.0	
22.9	99.1	
23.2	99.2	
23.5	99.3	
23.9	99.4	
24.2	99.5	
24.6	99.6	
24.9	99.7	
25.3	99.8	
25.7	100.0	
26.0	100.1	
26.4	100.1	
26.8	100.2	
27.2	100.3	
27.6	100.4	
28.0	100.5	
28.4	100.7	
28.8	100.8	
29.2	100.8	
29.7	100.8	
30.1	100.8	
30.5	100.8	
31.0	100.9	
31.4	101.0	
31.9	101.1	
32.4	101.2	
32.8	101.2	
33.3	101.3	
33.8	101.3	
34.3	101.3	
34.8	101.4	
35.3	101.4	
35.8	101.5	
36.3	101.6	
36.9	101.6	
37.4	101.7	
37.9	101.7	
38.5	101.7	
39.1	101.8	
39.6	101.9	
40.2	101.9	
40.8	101.9	
41.4	101.9	
42.0	101.9	
42.6	102.0	
43.2	102.0	
43.9	102.1	
44.5	102.2	
45.1	102.2	
45.8	102.2	
46.5	102.2	
47.1	102.1	
47.8	102.1	
48.5	102.1	
49.2	102.2	
50.0	102.3	
50.7	102.3	
51.4	102.3	
52.2	102.2	
52.9	102.2	
53.7	102.3	
54.5	102.3	
55.3	102.3	
56.1	102.3	
56.9	102.3	
57.7	102.2	
58.6	102.4	
59.4	102.4	
60.3	102.2	
61.2	102.4	
62.1	102.2	
63.0	102.0	
63.9	102.5	
64.8	102.5	
65.8	102.0	
66.7	101.9	
67.7	101.8	
68.7	101.8	
69.7	102.0	
70.7	101.9	
71.7	101.7	
72.8	101.9	
73.8	102.2	
74.9	102.1	
76.0	101.6	
77.1	101.2	
78.3	101.4	
79.4	101.6	
80.5	101.5	
81.7	101.5	
82.9	101.8	
84.1	101.6	
85.4	101.5	
86.6	101.5	
87.9	101.3	
89.1	100.2	
90.4	100.8	
91.8	101.2	
93.1	101.1	
94.5	100.9	
95.8	101.0	
97.2	100.8	
98.6	100.6	
100.1	100.5	
101.5	100.9	
103.0	100.5	
104.5	100.6	
106.0	100.4	
107.6	100.6	
109.2	100.3	
110.8	100.2	
112.4	100.1	
114.0	100.0	
115.7	99.9	
117.4	99.9	
119.1	99.7	
120.8	99.7	
122.6	99.7	
124.3	99.6	
126.2	99.4	
128.0	99.3	
129.9	99.2	
131.8	99.2	
133.7	99.1	
135.6	99.0	
137.6	98.8	
139.6	98.7	
141.7	98.6	
143.7	98.4	
145.8	98.3	
147.9	98.2	
150.1	98.2	
152.3	98.3	
154.5	98.3	
156.8	98.4	
159.0	98.4	
161.4	98.3	
163.7	98.2	
166.1	98.2	
168.5	98.1	
171.0	97.9	
173.5	97.9	
176.0	97.7	
178.6	97.7	
181.2	97.6	
183.8	97.5	
186.5	97.4	
189.2	97.3	
192.0	97.1	
194.8	97.2	
197.6	97.1	
200.5	97.0	
203.4	96.8	
206.4	96.6	
209.4	96.7	
212.4	96.5	
215.5	96.5	
218.7	96.4	
221.9	96.2	
225.1	96.1	
228.4	96.0	
231.7	96.1	
235.1	95.9	
238.5	95.8	
242.0	95.7	
245.5	95.6	
249.1	95.6	
252.7	95.5	
256.4	95.4	
260.2	95.3	
263.9	95.2	
267.8	95.1	
271.7	95.1	
275.7	95.0	
279.7	94.9	
283.8	94.8	
287.9	94.8	
292.1	94.6	
296.3	94.6	
300.7	94.5	
305.1	94.4	
309.5	94.4	
314.0	94.3	
318.6	94.3	
323.2	94.2	
327.9	94.1	
332.7	94.0	
337.6	94.0	
342.5	93.9	
347.5	93.9	
352.6	93.7	
357.7	93.7	
362.9	93.7	
368.2	93.6	
373.6	93.5	
379.0	93.4	
384.5	93.4	
390.2	93.3	
395.8	93.2	
401.6	93.2	
407.5	93.2	
413.4	93.1	
419.4	93.1	
425.6	93.0	
431.8	92.9	
438.1	92.9	
444.4	92.8	
450.9	92.8	
457.5	92.7	
464.2	92.7	
470.9	92.7	
477.8	92.6	
484.8	92.6	
491.8	92.6	
499.0	92.5	
506.3	92.4	
513.7	92.4	
521.1	92.4	
528.7	92.3	
536.5	92.4	
544.3	92.3	
552.2	92.3	
560.3	92.2	
568.4	92.2	
576.7	92.2	
585.1	92.2	
593.7	92.1	
602.3	92.1	
611.1	92.1	
620.0	92.1	
629.0	92.1	
638.2	92.0	
647.5	92.1	
657.0	92.1	
666.5	92.0	
676.2	92.0	
686.1	92.0	
696.1	92.0	
706.3	92.0	
716.6	92.0	
727.0	92.0	
737.6	92.0	
748.4	92.0	
759.3	92.0	
770.3	92.0	
781.6	92.0	
793.0	92.0	
804.5	92.1	
816.3	92.1	
828.2	92.1	
840.2	92.1	
852.5	92.1	
864.9	92.1	
877.5	92.1	
890.3	92.1	
903.3	92.1	
916.5	92.1	
929.8	92.2	
943.4	92.2	
957.1	92.3	
971.1	92.4	
985.2	92.5	
999.6	92.6	
1014.2	92.6	
1029.0	92.8	
1044.0	92.9	
1059.2	93.0	
1074.6	93.2	
1090.3	93.3	
1106.2	93.5	
1122.3	93.5	
1138.7	93.7	
1155.3	93.8	
1172.1	93.9	
1189.2	94.0	
1206.6	94.2	
1224.1	94.3	
1242.0	94.4	
1260.1	94.5	
1278.5	94.7	
1297.1	94.8	
1316.0	94.9	
1335.2	95.0	
1354.7	95.2	
1374.4	95.3	
1394.5	95.4	
1414.8	95.5	
1435.4	95.6	
1456.3	95.7	
1477.6	95.8	
1499.1	95.9	
1521.0	96.0	
1543.1	96.2	
1565.6	96.3	
1588.5	96.4	
1611.6	96.5	
1635.1	96.7	
1659.0	96.8	
1683.2	96.9	
1707.7	97.0	
1732.6	97.2	
1757.8	97.3	
1783.5	97.4	
1809.5	97.6	
1835.9	97.7	
1862.6	97.8	
1889.8	98.0	
1917.3	98.1	
1945.3	98.3	
1973.6	98.5	
2002.4	98.6	
2031.6	98.8	
2061.2	99.0	
2091.3	99.1	
2121.8	99.3	
2152.7	99.5	
2184.1	99.7	
2215.9	99.8	
2248.2	100.0	
2281.0	100.2	
2314.3	100.4	
2348.0	100.6	
2382.3	100.8	
2417.0	101.0	
2452.2	101.2	
2488.0	101.4	
2524.2	101.6	
2561.0	101.8	
2598.4	102.0	
2636.3	102.2	
2674.7	102.3	
2713.7	102.5	
2753.3	102.7	
2793.4	102.8	
2834.1	102.9	
2875.4	103.0	
2917.4	103.1	
2959.9	103.2	
3003.1	103.3	
3046.8	103.3	
3091.3	103.3	
3136.3	103.3	
3182.1	103.3	
3228.4	103.3	
3275.5	103.2	
3323.3	103.2	
3371.7	103.1	
3420.9	103.1	
3470.8	103.0	
3521.4	102.9	
3572.7	102.8	
3624.8	102.7	
3677.6	102.6	
3731.2	102.5	
3785.6	102.4	
3840.8	102.4	
3896.8	102.3	
3953.6	102.2	
4011.3	102.1	
4069.8	102.0	
4129.1	101.9	
4189.3	101.8	
4250.4	101.7	
4312.3	101.6	
4375.2	101.4	
4439.0	101.3	
4503.7	101.2	
4569.4	101.1	
4636.0	100.9	
4703.6	100.8	
4772.2	100.7	
4841.7	100.5	
4912.3	100.3	
4984.0	100.1	
5056.6	99.9	
5130.3	99.7	
5205.1	99.5	
5281.0	99.2	
5358.0	99.0	
5436.1	98.7	
5515.4	98.4	
5595.8	98.1	
5677.4	97.9	
5760.1	97.6	
5844.1	97.4	
5929.3	97.2	
6015.8	97.0	
6103.5	96.8	
6192.5	96.6	
6282.7	96.5	
6374.3	96.4	
6467.3	96.4	
6561.6	96.5	
6657.2	96.6	
6754.3	96.7	
6852.8	96.9	
6952.7	97.1	
7054.0	97.4	
7156.9	97.7	
7261.2	98.0	
7367.1	98.4	
7474.5	98.9	
7583.5	99.3	
7694.0	99.8	
7806.2	100.3	
7920.0	100.9	
8035.5	101.4	
8152.6	101.8	
8271.5	102.0	
8392.1	101.9	
8514.4	101.3	
8638.6	100.4	
8764.5	99.2	
8892.3	98.0	
9021.9	96.8	
9153.5	95.6	
9286.9	94.5	
9422.3	93.4	
9559.7	92.5	
9699.1	91.6	
9840.5	90.9	
9983.9	90.2	
10129.5	89.7	
10277.2	89.2	
10427.0	88.8	
10579.0	88.5	
10733.3	88.3	
10889.7	88.2	
11048.5	88.2	
11209.6	88.2	
11373.0	88.4	
11538.8	88.8	
11707.1	89.2	
11877.7	89.8	
12050.9	90.5	
12226.6	91.5	
12404.9	92.6	
12585.7	93.4	
12769.2	91.5	
12955.4	90.6	
13144.3	94.0	
13335.9	96.1	
13530.3	96.7	
13727.6	95.9	
13927.7	94.6	
14130.8	93.4	
14336.8	92.3	
14545.8	91.5	
14757.9	90.9	
14973.0	90.6	
15191.3	90.6	
15412.8	90.8	
15637.5	91.3	
15865.5	92.0	
16096.8	92.7	
16331.5	93.0	
16569.6	92.7	
16811.2	91.5	
17056.3	90.0	
17304.9	88.3	
17557.2	86.8	
17813.2	85.3	
18072.9	83.8	
18336.4	82.2	
18603.7	81.0	
18875.0	79.7	
19150.1	78.5	
19429.3	77.7	
19712.6	76.6	
20000.0	75.1	
