Frequency	dB	Unweighted
19.5	96.3	
19.8	96.3	
20.1	96.3	
20.4	96.3	
20.7	96.4	
21.0	96.5	
21.3	96.7	
21.6	96.9	
21.9	97.1	
22.2	97.2	
22.5	97.3	
22.9	97.4	
23.2	97.5	
23.5	97.6	
23.9	97.8	
24.2	97.9	
24.6	98.0	
24.9	98.2	
25.3	98.3	
25.7	98.3	
26.0	98.4	
26.4	98.5	
26.8	98.6	
27.2	98.6	
27.6	98.7	
28.0	98.9	
28.4	99.0	
28.8	99.2	
29.2	99.2	
29.7	99.3	
30.1	99.3	
30.5	99.4	
31.0	99.4	
31.4	99.6	
31.9	99.7	
32.4	99.8	
32.8	99.9	
33.3	99.9	
33.8	100.0	
34.3	100.1	
34.8	100.1	
35.3	100.2	
35.8	100.3	
36.3	100.4	
36.9	100.5	
37.4	100.5	
37.9	100.6	
38.5	100.6	
39.1	100.6	
39.6	100.7	
40.2	100.7	
40.8	100.8	
41.4	101.0	
42.0	101.0	
42.6	101.0	
43.2	100.9	
43.9	101.0	
44.5	101.1	
45.1	101.2	
45.8	101.3	
46.5	101.3	
47.1	101.3	
47.8	101.3	
48.5	101.3	
49.2	101.4	
50.0	101.5	
50.7	101.4	
51.4	101.5	
52.2	101.6	
52.9	101.5	
53.7	101.6	
54.5	101.7	
55.3	101.6	
56.1	101.6	
56.9	101.8	
57.7	101.7	
58.6	101.6	
59.4	101.8	
60.3	101.8	
61.2	101.5	
62.1	101.4	
63.0	101.9	
63.9	101.8	
64.8	101.5	
65.8	101.7	
66.7	101.7	
67.7	101.8	
68.7	101.7	
69.7	101.6	
70.7	101.8	
71.7	101.7	
72.8	101.7	
73.8	101.7	
74.9	101.7	
76.0	101.6	
77.1	101.5	
78.3	101.7	
79.4	101.6	
80.5	101.6	
81.7	101.5	
82.9	101.5	
84.1	101.5	
85.4	101.6	
86.6	101.5	
87.9	101.5	
89.1	101.4	
90.4	101.0	
91.8	101.3	
93.1	101.3	
94.5	101.2	
95.8	101.2	
97.2	101.1	
98.6	101.1	
100.1	100.8	
101.5	100.9	
103.0	100.9	
104.5	100.9	
106.0	100.9	
107.6	100.7	
109.2	100.6	
110.8	100.5	
112.4	100.5	
114.0	100.3	
115.7	100.4	
117.4	100.1	
119.1	100.1	
120.8	100.1	
122.6	100.0	
124.3	99.7	
126.2	99.6	
128.0	99.9	
129.9	100.0	
131.8	99.7	
133.7	99.9	
135.6	99.4	
137.6	99.8	
139.6	99.8	
141.7	99.7	
143.7	99.8	
145.8	99.5	
147.9	99.5	
150.1	99.5	
152.3	99.4	
154.5	99.3	
156.8	99.3	
159.0	99.2	
161.4	99.0	
163.7	99.1	
166.1	98.9	
168.5	98.8	
171.0	98.7	
173.5	98.6	
176.0	98.8	
178.6	98.5	
181.2	98.4	
183.8	98.2	
186.5	98.0	
189.2	98.1	
192.0	97.9	
194.8	97.9	
197.6	98.0	
200.5	97.7	
203.4	97.8	
206.4	97.7	
209.4	97.4	
212.4	97.4	
215.5	97.2	
218.7	97.2	
221.9	97.1	
225.1	96.9	
228.4	96.9	
231.7	96.9	
235.1	96.8	
238.5	96.7	
242.0	96.5	
245.5	96.5	
249.1	96.4	
252.7	96.2	
256.4	96.2	
260.2	96.3	
263.9	95.9	
267.8	95.9	
271.7	95.9	
275.7	95.7	
279.7	95.7	
283.8	95.6	
287.9	95.5	
292.1	95.4	
296.3	95.3	
300.7	95.3	
305.1	95.2	
309.5	95.1	
314.0	95.0	
318.6	95.0	
323.2	94.9	
327.9	94.8	
332.7	94.7	
337.6	94.6	
342.5	94.6	
347.5	94.5	
352.6	94.5	
357.7	94.3	
362.9	94.2	
368.2	94.2	
373.6	94.1	
379.0	94.0	
384.5	93.9	
390.2	93.9	
395.8	93.8	
401.6	93.7	
407.5	93.8	
413.4	93.5	
419.4	93.6	
425.6	93.4	
431.8	93.4	
438.1	93.4	
444.4	93.3	
450.9	93.3	
457.5	93.1	
464.2	93.1	
470.9	93.0	
477.8	93.0	
484.8	92.9	
491.8	92.9	
499.0	93.0	
506.3	92.8	
513.7	92.8	
521.1	92.7	
528.7	92.5	
536.5	92.6	
544.3	92.4	
552.2	92.5	
560.3	92.4	
568.4	92.4	
576.7	92.4	
585.1	92.3	
593.7	92.2	
602.3	92.2	
611.1	92.1	
620.0	92.1	
629.0	92.0	
638.2	92.1	
647.5	91.9	
657.0	91.9	
666.5	91.9	
676.2	91.9	
686.1	91.9	
696.1	91.8	
706.3	91.8	
716.6	91.9	
727.0	91.9	
737.6	91.8	
748.4	91.8	
759.3	91.9	
770.3	91.8	
781.6	91.9	
793.0	91.9	
804.5	91.9	
816.3	91.9	
828.2	91.9	
840.2	92.0	
852.5	92.0	
864.9	92.1	
877.5	92.1	
890.3	92.1	
903.3	92.2	
916.5	92.3	
929.8	92.4	
943.4	92.5	
957.1	92.5	
971.1	92.6	
985.2	92.7	
999.6	92.9	
1014.2	92.9	
1029.0	93.0	
1044.0	93.2	
1059.2	93.3	
1074.6	93.4	
1090.3	93.6	
1106.2	93.7	
1122.3	93.8	
1138.7	94.0	
1155.3	94.1	
1172.1	94.2	
1189.2	94.4	
1206.6	94.5	
1224.1	94.6	
1242.0	94.8	
1260.1	94.9	
1278.5	95.0	
1297.1	95.1	
1316.0	95.3	
1335.2	95.4	
1354.7	95.5	
1374.4	95.6	
1394.5	95.7	
1414.8	95.8	
1435.4	95.9	
1456.3	96.0	
1477.6	96.1	
