Frequency	dB	Unweighted
19.5	95.8	
19.8	95.8	
20.1	95.8	
20.4	96.0	
20.7	96.2	
21.0	96.3	
21.3	96.5	
21.6	96.7	
21.9	96.8	
22.2	97.0	
22.5	97.2	
22.9	97.2	
23.2	97.3	
23.5	97.3	
23.9	97.4	
24.2	97.5	
24.6	97.7	
24.9	98.0	
25.3	98.2	
25.7	98.4	
26.0	98.5	
26.4	98.6	
26.8	98.6	
27.2	98.7	
27.6	98.7	
28.0	98.8	
28.4	98.9	
28.8	99.1	
29.2	99.2	
29.7	99.3	
30.1	99.3	
30.5	99.3	
31.0	99.4	
31.4	99.5	
31.9	99.6	
32.4	99.7	
32.8	99.8	
33.3	99.8	
33.8	99.9	
34.3	100.0	
34.8	100.1	
35.3	100.2	
35.8	100.2	
36.3	100.2	
36.9	100.3	
37.4	100.4	
37.9	100.5	
38.5	100.6	
39.1	100.6	
39.6	100.7	
40.2	100.7	
40.8	100.8	
41.4	100.8	
42.0	100.9	
42.6	101.0	
43.2	101.1	
43.9	101.1	
44.5	101.1	
45.1	101.1	
45.8	101.1	
46.5	101.2	
47.1	101.3	
47.8	101.4	
48.5	101.4	
49.2	101.4	
50.0	101.5	
50.7	101.5	
51.4	101.5	
52.2	101.5	
52.9	101.5	
53.7	101.5	
54.5	101.6	
55.3	101.6	
56.1	101.7	
56.9	101.7	
57.7	101.7	
58.6	101.9	
59.4	101.8	
60.3	101.5	
61.2	102.1	
62.1	102.4	
63.0	101.8	
63.9	101.7	
64.8	101.6	
65.8	101.9	
66.7	102.1	
67.7	101.8	
68.7	101.9	
69.7	101.6	
70.7	101.8	
71.7	101.9	
72.8	101.6	
73.8	101.5	
74.9	101.5	
76.0	101.7	
77.1	101.5	
78.3	101.5	
79.4	101.5	
80.5	101.6	
81.7	101.5	
82.9	101.5	
84.1	101.5	
85.4	101.5	
86.6	101.4	
87.9	101.5	
89.1	101.2	
90.4	101.0	
91.8	101.2	
93.1	101.2	
94.5	101.1	
95.8	101.1	
97.2	101.1	
98.6	101.0	
100.1	101.2	
101.5	100.9	
103.0	100.9	
104.5	100.8	
106.0	100.8	
107.6	100.7	
109.2	100.6	
110.8	100.6	
112.4	100.4	
114.0	100.4	
115.7	100.3	
117.4	100.3	
119.1	100.2	
120.8	100.0	
122.6	100.0	
124.3	99.9	
126.2	99.7	
128.0	99.5	
129.9	99.6	
131.8	99.7	
133.7	99.1	
135.6	100.4	
137.6	99.7	
139.6	99.5	
141.7	99.5	
143.7	99.5	
145.8	99.5	
147.9	99.5	
150.1	99.4	
152.3	99.4	
154.5	99.3	
156.8	99.2	
159.0	98.9	
161.4	99.0	
163.7	98.8	
166.1	98.6	
168.5	98.7	
171.0	98.4	
173.5	98.3	
176.0	98.3	
178.6	98.1	
181.2	98.0	
183.8	98.1	
186.5	98.2	
189.2	97.9	
192.0	98.0	
194.8	97.8	
197.6	97.6	
200.5	97.6	
203.4	97.4	
206.4	97.3	
209.4	97.3	
212.4	97.1	
215.5	97.0	
218.7	97.0	
221.9	96.9	
225.1	96.8	
228.4	96.8	
231.7	96.7	
235.1	96.5	
238.5	96.5	
242.0	96.5	
245.5	96.3	
249.1	96.2	
252.7	96.1	
256.4	96.0	
260.2	95.9	
263.9	95.9	
267.8	95.8	
271.7	95.7	
275.7	95.6	
279.7	95.6	
283.8	95.5	
287.9	95.3	
292.1	95.2	
296.3	95.2	
300.7	95.1	
305.1	95.0	
309.5	94.9	
314.0	94.8	
318.6	94.7	
323.2	94.6	
327.9	94.6	
332.7	94.4	
337.6	94.4	
342.5	94.4	
347.5	94.2	
352.6	94.3	
357.7	94.1	
362.9	94.1	
368.2	94.0	
373.6	93.9	
379.0	93.9	
384.5	93.7	
390.2	93.7	
395.8	93.7	
401.6	93.5	
407.5	93.5	
413.4	93.4	
419.4	93.3	
425.6	93.2	
431.8	93.2	
438.1	93.2	
444.4	93.1	
450.9	92.9	
457.5	92.9	
464.2	92.9	
470.9	92.8	
477.8	92.8	
484.8	92.6	
491.8	92.7	
499.0	92.6	
506.3	92.7	
513.7	92.5	
521.1	92.3	
528.7	92.4	
536.5	92.4	
544.3	92.3	
552.2	92.3	
560.3	92.2	
568.4	92.1	
576.7	92.1	
585.1	92.0	
593.7	91.9	
602.3	91.9	
611.1	91.9	
620.0	91.8	
629.0	91.7	
638.2	91.8	
647.5	91.7	
657.0	91.7	
666.5	91.6	
676.2	91.6	
686.1	91.7	
696.1	91.7	
706.3	91.6	
716.6	91.7	
727.0	91.6	
737.6	91.7	
748.4	91.6	
759.3	91.6	
770.3	91.6	
781.6	91.7	
793.0	91.7	
804.5	91.6	
816.3	91.7	
828.2	91.7	
840.2	91.7	
852.5	91.8	
864.9	91.8	
877.5	91.9	
890.3	92.0	
903.3	92.0	
916.5	92.1	
929.8	92.1	
943.4	92.2	
957.1	92.2	
971.1	92.4	
985.2	92.5	
999.6	92.6	
1014.2	92.7	
1029.0	92.8	
1044.0	93.0	
1059.2	93.0	
1074.6	93.2	
1090.3	93.3	
1106.2	93.5	
1122.3	93.6	
1138.7	93.8	
1155.3	93.8	
1172.1	94.0	
1189.2	94.1	
1206.6	94.3	
1224.1	94.4	
1242.0	94.5	
1260.1	94.6	
1278.5	94.7	
1297.1	94.9	
1316.0	95.0	
1335.2	95.1	
1354.7	95.2	
1374.4	95.3	
1394.5	95.4	
1414.8	95.5	
1435.4	95.6	
1456.3	95.8	
1477.6	95.8	
1499.1	95.9	
1521.0	96.0	
1543.1	96.1	
1565.6	96.2	
1588.5	96.3	
1611.6	96.4	
1635.1	96.6	
1659.0	96.6	
1683.2	96.8	
1707.7	96.9	
1732.6	97.0	
1757.8	97.1	
1783.5	97.2	
1809.5	97.3	
1835.9	97.4	
1862.6	97.6	
1889.8	97.7	
1917.3	97.8	
1945.3	97.9	
1973.6	98.1	
2002.4	98.2	
2031.6	98.3	
2061.2	98.5	
2091.3	98.6	
2121.8	98.7	
2152.7	98.9	
2184.1	99.0	
2215.9	99.1	
2248.2	99.3	
2281.0	99.4	
2314.3	99.6	
2348.0	99.7	
2382.3	99.8	
2417.0	100.0	
2452.2	100.1	
2488.0	100.2	
2524.2	100.4	
2561.0	100.5	
2598.4	100.6	
2636.3	100.7	
2674.7	100.8	
2713.7	100.9	
2753.3	100.9	
2793.4	101.0	
2834.1	101.0	
2875.4	101.1	
2917.4	101.1	
2959.9	101.1	
3003.1	101.0	
3046.8	101.0	
3091.3	100.9	
3136.3	100.9	
3182.1	100.8	
3228.4	100.8	
3275.5	100.7	
3323.3	100.7	
3371.7	100.6	
3420.9	100.5	
3470.8	100.3	
3521.4	100.2	
3572.7	100.0	
3624.8	99.9	
3677.6	99.7	
3731.2	99.5	
3785.6	99.3	
3840.8	99.2	
3896.8	99.0	
3953.6	98.8	
4011.3	98.6	
4069.8	98.4	
4129.1	98.2	
4189.3	98.0	
4250.4	97.8	
4312.3	97.6	
4375.2	97.5	
4439.0	97.3	
4503.7	97.1	
4569.4	97.0	
4636.0	96.9	
4703.6	96.7	
4772.2	96.5	
4841.7	96.3	
4912.3	95.9	
4984.0	95.5	
5056.6	95.1	
5130.3	94.7	
5205.1	94.4	
5281.0	94.2	
5358.0	94.1	
5436.1	94.1	
5515.4	94.0	
5595.8	94.1	
5677.4	94.1	
5760.1	94.1	
5844.1	94.1	
5929.3	94.1	
6015.8	94.2	
6103.5	94.2	
6192.5	94.2	
6282.7	94.3	
6374.3	94.3	
6467.3	94.3	
6561.6	94.4	
6657.2	94.5	
6754.3	94.6	
6852.8	94.8	
6952.7	95.1	
7054.0	95.4	
7156.9	95.8	
7261.2	96.1	
7367.1	96.5	
7474.5	96.9	
7583.5	97.3	
7694.0	97.8	
7806.2	98.3	
7920.0	98.9	
8035.5	99.5	
8152.6	99.9	
8271.5	100.0	
8392.1	99.5	
8514.4	98.5	
8638.6	97.2	
8764.5	96.0	
8892.3	94.8	
9021.9	93.9	
9153.5	93.0	
9286.9	92.3	
9422.3	91.7	
9559.7	91.1	
9699.1	90.7	
9840.5	90.3	
9983.9	90.1	
10129.5	89.9	
10277.2	89.8	
10427.0	89.8	
10579.0	89.9	
10733.3	90.2	
10889.7	90.6	
11048.5	91.1	
11209.6	91.7	
11373.0	92.5	
11538.8	92.8	
11707.1	91.1	
11877.7	89.4	
12050.9	91.8	
12226.6	94.8	
12404.9	97.4	
12585.7	98.7	
12769.2	97.9	
12955.4	95.9	
13144.3	93.9	
13335.9	92.2	
13530.3	90.7	
13727.6	89.4	
13927.7	88.4	
14130.8	87.5	
14336.8	86.7	
14545.8	86.0	
14757.9	85.4	
14973.0	84.8	
15191.3	84.3	
15412.8	83.9	
15637.5	83.6	
