Frequency	dB	Unweighted
19.5	96.8	
19.8	96.8	
20.1	96.8	
20.4	97.0	
20.7	97.1	
21.0	97.2	
21.3	97.3	
21.6	97.4	
21.9	97.5	
22.2	97.7	
22.5	97.8	
22.9	98.0	
23.2	98.1	
23.5	98.2	
23.9	98.2	
24.2	98.2	
24.6	98.3	
24.9	98.5	
25.3	98.6	
25.7	98.7	
26.0	98.8	
26.4	98.9	
26.8	98.9	
27.2	99.0	
27.6	99.1	
28.0	99.3	
28.4	99.5	
28.8	99.6	
29.2	99.7	
29.7	99.7	
30.1	99.8	
30.5	99.8	
31.0	99.9	
31.4	100.0	
31.9	100.1	
32.4	100.2	
32.8	100.2	
33.3	100.3	
33.8	100.4	
34.3	100.4	
34.8	100.6	
35.3	100.7	
35.8	100.7	
36.3	100.8	
36.9	100.8	
37.4	100.8	
37.9	100.9	
38.5	101.0	
39.1	101.0	
39.6	101.1	
40.2	101.2	
40.8	101.2	
41.4	101.3	
42.0	101.3	
42.6	101.4	
43.2	101.4	
43.9	101.5	
44.5	101.6	
45.1	101.6	
45.8	101.6	
46.5	101.7	
47.1	101.7	
47.8	101.7	
48.5	101.8	
49.2	101.7	
50.0	101.7	
50.7	101.8	
51.4	101.9	
52.2	101.9	
52.9	102.0	
53.7	102.1	
54.5	102.0	
55.3	102.0	
56.1	102.0	
56.9	102.0	
57.7	102.2	
58.6	102.4	
59.4	102.2	
60.3	101.9	
61.2	101.9	
62.1	101.5	
63.0	101.7	
63.9	102.6	
64.8	102.3	
65.8	101.6	
66.7	101.7	
67.7	101.9	
68.7	101.9	
69.7	102.0	
70.7	101.9	
71.7	102.0	
72.8	102.0	
73.8	101.8	
74.9	102.0	
76.0	102.0	
77.1	102.0	
78.3	102.1	
79.4	101.9	
80.5	101.8	
81.7	101.9	
82.9	101.9	
84.1	101.9	
85.4	101.8	
86.6	101.8	
87.9	101.9	
89.1	101.8	
90.4	101.6	
91.8	101.6	
93.1	101.6	
94.5	101.5	
95.8	101.4	
97.2	101.3	
98.6	101.5	
100.1	101.8	
101.5	101.0	
103.0	101.1	
104.5	100.8	
106.0	101.2	
107.6	101.2	
109.2	100.7	
110.8	101.0	
112.4	100.5	
114.0	100.4	
115.7	100.8	
117.4	100.6	
119.1	100.3	
120.8	100.4	
122.6	100.4	
124.3	100.5	
126.2	100.4	
128.0	100.7	
129.9	100.3	
131.8	100.4	
133.7	100.0	
135.6	100.1	
137.6	100.2	
139.6	100.0	
141.7	100.0	
143.7	99.9	
145.8	99.8	
147.9	99.8	
150.1	99.7	
152.3	99.6	
154.5	99.6	
156.8	99.5	
159.0	99.2	
161.4	99.2	
163.7	99.1	
166.1	99.2	
168.5	99.1	
171.0	98.9	
173.5	98.9	
176.0	98.8	
178.6	98.6	
181.2	98.6	
183.8	98.5	
186.5	98.4	
189.2	98.3	
192.0	98.5	
194.8	98.1	
197.6	98.0	
200.5	97.9	
203.4	97.9	
206.4	97.8	
209.4	97.6	
212.4	97.6	
215.5	97.5	
218.7	97.4	
221.9	97.3	
225.1	97.2	
228.4	97.1	
231.7	97.1	
235.1	97.0	
238.5	96.8	
242.0	96.7	
245.5	96.7	
249.1	96.6	
252.7	96.4	
256.4	96.4	
260.2	96.4	
263.9	96.2	
267.8	96.1	
271.7	96.1	
275.7	96.0	
279.7	95.9	
283.8	95.8	
287.9	95.7	
292.1	95.6	
296.3	95.5	
300.7	95.4	
305.1	95.3	
309.5	95.3	
314.0	95.2	
318.6	95.1	
323.2	95.1	
327.9	94.9	
332.7	94.9	
337.6	94.8	
342.5	94.7	
347.5	94.6	
352.6	94.4	
357.7	94.6	
362.9	94.4	
368.2	94.4	
373.6	94.2	
379.0	94.2	
384.5	94.1	
390.2	94.1	
395.8	94.0	
401.6	94.0	
407.5	93.9	
413.4	93.8	
419.4	93.7	
425.6	93.7	
431.8	93.6	
438.1	93.6	
444.4	93.5	
450.9	93.4	
457.5	93.3	
