Frequency	dB	Unweighted
19.5	96.6	
19.8	96.6	
20.1	96.7	
20.4	96.9	
20.7	97.1	
21.0	97.1	
21.3	97.1	
21.6	97.1	
21.9	97.1	
22.2	97.2	
22.5	97.3	
22.9	97.5	
23.2	97.7	
23.5	97.9	
23.9	97.9	
24.2	98.0	
24.6	98.1	
24.9	98.2	
25.3	98.3	
25.7	98.5	
26.0	98.6	
26.4	98.7	
26.8	98.8	
27.2	98.8	
27.6	98.9	
28.0	99.0	
28.4	99.1	
28.8	99.2	
29.2	99.4	
29.7	99.5	
30.1	99.6	
30.5	99.7	
31.0	99.7	
31.4	99.8	
31.9	99.8	
32.4	99.9	
32.8	100.0	
33.3	100.2	
33.8	100.3	
34.3	100.4	
34.8	100.4	
35.3	100.4	
35.8	100.5	
36.3	100.5	
36.9	100.6	
37.4	100.7	
37.9	100.7	
38.5	100.8	
39.1	100.9	
39.6	101.0	
40.2	101.0	
40.8	101.1	
41.4	101.1	
42.0	101.2	
42.6	101.2	
43.2	101.3	
43.9	101.3	
44.5	101.4	
45.1	101.4	
45.8	101.4	
46.5	101.5	
47.1	101.5	
47.8	101.6	
48.5	101.6	
49.2	101.6	
50.0	101.7	
50.7	101.8	
51.4	101.8	
52.2	101.7	
52.9	101.7	
53.7	101.7	
54.5	101.7	
55.3	101.8	
56.1	101.9	
56.9	101.9	
57.7	101.9	
58.6	101.9	
59.4	102.1	
60.3	102.4	
61.2	102.1	
62.1	101.9	
63.0	102.4	
63.9	102.4	
64.8	101.9	
65.8	101.8	
66.7	101.6	
67.7	101.7	
68.7	102.0	
69.7	102.2	
70.7	102.1	
71.7	101.8	
72.8	101.9	
73.8	101.6	
74.9	101.8	
76.0	102.0	
77.1	102.0	
78.3	101.8	
79.4	101.8	
80.5	101.7	
81.7	101.8	
82.9	101.6	
84.1	101.6	
85.4	101.6	
86.6	101.8	
87.9	101.5	
89.1	101.3	
90.4	101.5	
91.8	101.6	
93.1	101.5	
94.5	101.4	
95.8	101.4	
97.2	101.3	
98.6	101.3	
100.1	101.4	
101.5	101.1	
103.0	101.1	
104.5	100.9	
106.0	101.0	
107.6	101.0	
109.2	100.8	
110.8	100.8	
112.4	100.8	
114.0	100.9	
115.7	100.4	
117.4	100.6	
119.1	100.5	
120.8	100.3	
122.6	100.4	
124.3	100.0	
126.2	99.9	
128.0	100.1	
129.9	100.0	
131.8	100.1	
133.7	100.0	
135.6	99.9	
137.6	99.8	
139.6	99.7	
141.7	99.7	
143.7	99.7	
145.8	99.7	
147.9	99.6	
150.1	99.5	
152.3	99.5	
154.5	99.3	
156.8	99.3	
159.0	99.2	
161.4	99.0	
163.7	99.0	
166.1	98.9	
168.5	98.8	
171.0	98.7	
173.5	98.6	
176.0	98.5	
178.6	98.5	
181.2	98.4	
183.8	98.3	
186.5	98.3	
189.2	98.3	
192.0	98.2	
194.8	98.1	
197.6	97.9	
200.5	97.9	
203.4	97.6	
206.4	97.7	
209.4	97.6	
212.4	97.4	
215.5	97.3	
218.7	97.3	
221.9	97.2	
225.1	97.1	
228.4	97.0	
231.7	96.9	
235.1	96.9	
238.5	96.7	
242.0	96.7	
245.5	96.5	
249.1	96.5	
252.7	96.5	
256.4	96.3	
260.2	96.1	
263.9	96.0	
267.8	96.0	
271.7	95.9	
275.7	95.8	
279.7	95.7	
283.8	95.6	
287.9	95.6	
292.1	95.4	
296.3	95.4	
300.7	95.3	
305.1	95.2	
309.5	95.1	
314.0	95.1	
318.6	95.1	
323.2	94.9	
327.9	94.8	
332.7	94.7	
337.6	94.7	
342.5	94.6	
347.5	94.5	
352.6	94.4	
357.7	94.4	
362.9	94.3	
368.2	94.1	
373.6	94.1	
379.0	94.0	
384.5	94.0	
390.2	93.9	
395.8	93.9	
401.6	93.8	
407.5	93.7	
413.4	93.6	
419.4	93.4	
425.6	93.6	
431.8	93.5	
438.1	93.3	
